highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
implicit,adj. 含蓄的；暗示的；盲从的
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
archive,"n. 档案馆；档案文件
vt. 把…存档"
formation,n. 形成；构造；编队
recreation,n. 娱乐；消遣；休养
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
computerize,vt. 使电脑化；使计算机化；用电脑处理
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
amuse,vt. 娱乐；消遣；使发笑；使愉快
podcast,n. 播客
cynical,adj. 愤世嫉俗的；冷嘲的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
accountant,n. 会计师；会计人员
arbitrary,adj.  任意的；武断的；专制的
cordless,"n. 不用电线的
adj. 无线的（副词cordlessly）"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
exert,vt. 运用，发挥；施以影响
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
pessimism,n. 悲观，悲观情绪；厌世主义
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
bitch,"n. 母狗，母狼；泼妇；牢骚事
vt. 糟蹋；弄糟
vi. 发牢骚"
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
outskirts,n. 市郊，郊区
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
installment,n. 安装；分期付款；部分；就职
coupon,n. 息票；赠券；联票； 配给券
memorandum,n. 备忘录；便笺
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
heritage,n. 遗产；传统；继承物；继承权
municipal,adj. 市政的，市的；地方自治的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
profound,adj. 深厚的；意义深远的；渊博的
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
estate,n. 房地产；财产；身份
competitive,adj. 竞争的；比赛的；求胜心切的
detective,"n. 侦探
adj. 侦探的"
viewer,n. 观察者；观看者；观众； 指示器
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
polish,找不到解释
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
composition,n. 作文，作曲，作品； 构成；合成物；成分
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
limit,"n. 限制；限度；界线
vt. 限制；限定"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
await,vt. 等候，等待；期待
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
compel,vt. 强迫，迫使；强使发生
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
belief,n. 相信，信赖；信仰；教义
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
depress,vt. 压抑；使沮丧；使萧条
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
extensive,adj. 广泛的；大量的；广阔的
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
acquisition,n. 获得物，获得；收购
indirect,adj. 间接的；迂回的；非直截了当的
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
instance,"n. 实例；情况；建议
vt. 举...为例"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
instrument,n. 仪器；工具；乐器；手段；器械
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
infer,"vi. 推断；作出推论
vt. 推断；推论"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
capacity,n. 能力；容量；资格，地位；生产力
cling,vi. 坚持，墨守；紧贴；附着
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
apparent,adj. 显然的；表面上的
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
shortage,n. 缺乏，缺少；不足
reality,n. 现实；实际；真实
passport,n. 护照，通行证；手段
ancestor,n. 始祖，祖先；被继承人
tendency,n. 倾向，趋势；癖好
vessel,n. 船，舰； 脉管，血管；容器，器皿
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
logo,n. 商标，徽标；标识语
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
negotiation,n. 谈判；转让；顺利的通过
degree,n. 程度，等级；度；学位；阶层
threat,n. 威胁，恐吓；凶兆
specify,vt. 指定；详细说明；列举；把…列入说明书
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
inadequate,adj. 不充分的，不适当的
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
storage,n. 存储；仓库；贮藏所
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
debt,n. 债务；借款；罪过
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
violent,adj. 暴力的；猛烈的
highly,adv. 高度地；非常；非常赞许地
basis,n. 基础；底部；主要成分；基本原则或原理
arise,vi. 出现；上升；起立
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
irrigation,n. 灌溉； 冲洗；冲洗法
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
franc,"n. 法郎
法郎体系"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
jetlag,n. 时差综合症（跨时区高速飞行后生理节奏的破坏）
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
subtract,vt. 减去；扣掉
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
fireplace,n. 壁炉
ass,n. 屁股；驴子；蠢人
gravitation,n. 重力；万有引力；地心吸力
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
old-fashioned,adj. 老式的；过时的；守旧的
necklace,n. 项链
peril,"n. 危险；冒险
vt. 危及；置…于险境"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
brochure,n. 手册，小册子
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
aisle,n. 通道，走道；侧廊
warehouse,n. 仓库；货栈；大商店
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
authorize,vt. 批准，认可；授权给；委托代替
ample,adj. 丰富的；足够的；宽敞的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
invent,vt. 发明；创造；虚构
realistic,adj. 现实的；现实主义的；逼真的；实在论的
appear,vi. 出现；显得；似乎；出庭；登场
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
consequence,n. 结果；重要性；推论
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
reception,n. 接待；接收；招待会；感受；反应
vital,adj. 至关重要的；生死攸关的；有活力的
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
precious,adj. 宝贵的；珍贵的；矫揉造作的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
occur,vi. 发生；出现；存在
inspiration,n. 灵感；鼓舞；吸气；妙计
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
engine,n. 引擎，发动机；机车，火车头；工具
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
racial,adj. 种族的；人种的
interpret,"vi. 解释；翻译
vt. 说明；口译"
alter,"vt. 改变，更改
vi. 改变；修改"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
restrict,vt. 限制；约束；限定
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
allergic,adj. 对…过敏的；对…极讨厌的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
retain,vt. 保持；雇；记住
cautious,adj. 谨慎的；十分小心的
install,vt. 安装；任命；安顿
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
investment,n. 投资；投入；封锁
theory,n. 理论；原理；学说；推测
consumption,n. 消费；消耗；肺痨
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
response,n. 响应；反应；回答
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
talent,n. 才能；天才；天资
passion,n. 激情；热情；酷爱；盛怒
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
conservation,n. 保存，保持；保护
suitable,adj. 适当的；相配的
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
tremendous,adj. 极大的，巨大的；惊人的；极好的
compete,vi. 竞争；比赛；对抗
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
statement,n. 声明；陈述，叙述；报表，清单
insist,"vi. 坚持，强调
vt. 坚持，强调"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
adapt,"vi. 适应
vt. 使适应；改编"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
discourage,vt. 阻止；使气馁
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
