agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
retroflex,"n. 卷舌音
vt. 使反折；卷舌（发音）
adj. 翻转的；向后弯曲的"
retroversion,n. 回退，倒转; 回译
seduce,vt. 引诱；诱惑；诱奸；怂恿
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
seclude,vt. 使隔离，使隔绝
segregate,vt. 使隔离；使分离；在…实行种族隔离
secede,"vt. 从…中脱离；割让
vi. 脱离；退出"
secern,v. 区别，分开
semiweekly,"adj.&adv. 每周两次的
n. 半周刊"
semiconductor,n.  半导体
semimonthly,"n. 半月刊
adj. 每半个月一次的
adv. 每半月一次"
semicircle,n. 半圆，半圆形
semiofficial,adj. 半官方的
semiliterate,n. 半文盲，有初等文化者
semi-colony,"n. 半殖民地
 半殖民地"
semicommercial,adj. 半商业性的，试销的
semimetal,n. 半金属
semicivilized,adj. 半文明的，半开化的
semiskilled,adj. 半熟练的
semiautomatic,adj.  半自动的
septangle,n. 七角形；七边形
septennial,adj. 七年一次的，延续七年的
septisyllable,n. 七音节的词
septempartite,"由七部分组成的, 分成七部分的"
septilateral,"有七边的
七边的"
septfoil,七叶形饰物(天主教七种圣物的象征)
September,n. 九月
septuple,"n. 七倍
vt. 乘以七
adj. 七的，七倍的"
sexangle,n. 六角形（等于hexagon）
sexdigitism,六指状态
sexisyllable,a. & n. 六个音节的（词）
sexpartite,adj. 分成六部分的，由六部分组成的，有六方面参加的
sexivalence,n. 六价
sexfoil,n. 六叶装饰；六叶性的植物
sexcentenary,"n. 六百周年纪念
adj. 六百（周）年的"
sexennial,"n. 六周年纪念
adj. 持续六年的，每六年的"
sexto,n. 六开本
Sino-American,找不到解释
Sinology,n. 汉学，中国问题研究
Sino-German, 武汉中德；中德的
Sino-Russian,找不到解释
Sinophile,"a. 赞成中国政策的, 喜欢中国特性的
n. 喜爱中国文化的人"
Sino-Japanese,adj. 中日的；中国及日本的
Sino-Tibetan,"n. 汉藏语系
a. 汉藏语系的"
Sinophobe,"厌恶中国的人
排华的人"
Sino-French,找不到解释
Sinomania,中国热
stepfather,n. 继父
stepchild,n. 妻与前夫所生的孩子；夫与前妻所生子女；受到冷落的人或物
stepmother,n. 继母，后母
stepson,n. 过继的儿子，继子
stepbrother,n. 同父异母的兄弟；同母异父的兄弟
stepdaughter,n. 继女；过继的女儿
stepsister,n. 异父（母）姊妹
stereosonic,adj. 立体声的
stereograph,n. 立体照片；立体画
stereophony,n. 立体音响
stereography,n. 立体画法，立体平画法
stereogram,n. 立体图；体视图；多边形；立体照片
stereotelevision,n. 立体电视
stereotape,立体声磁带
stereoproject,找不到解释
subway,"n. 地铁；地道
vi. 乘地铁"
substandard,adj. 不合规格的；标准以下的
substructure,n. 基础；信念；底部构造
subsurface,"n. 地表下岩石
adj. 地下的；表面下的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
subnormal,"n. 弱智者
adj. 低于正常的；低能的"
subsoil,"n. 底土；下层土；天然地基
vt. 掘起…的底土；深挖，深耕"
sub-zero,adj. 零下的；严寒的
sub-cloud,a. 云下的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
substratum,n. 基础；根据；下层
subaverage,adj. 低于平均水平的
subglacial,adj. 冰下的，冰川下的
submontane,adj. 在山麓的，山下的
subcontinent,n. 次大陆
subcollege,adj. 准大学程度的
subsonic,"n. 亚音速飞机
adj. 次音速的；比音速稍慢的"
subatomic,adj.  亚原子的；原子内的
subtropics,n.  亚热带
submetallic,a. 亚金属的
subfamily,n.  亚科（复数subfamilies）
subacid,adj. 稍带酸味的；颇有讽刺意味的；稍带尖刻的
subacute,adj. 稍尖的，亚急性的
subangular,adj. 次棱角形的
subconical,a. 接近(圆)锥形的
subcylindrical,a. 近圆柱形的
subarid,adj. 半干燥的
subworker, 帮手
subbranch,"n. 支店, 次级分店
vi. 分成小分支"
subagent,n. 副代理人
suboffice,n. 分办事处；分局
subeditor,n. 副主编；副编辑；助理编辑
subarea,n. 分区
subhead,n. 副标题；小标题
subdepartment,"支部
分局"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
subcommittee,n. 小组委员会；委员会的附属委员会
subdean,n. （基督教的）副助理监督，副助理主教
subofficer,n. 下级军官
subcentral,adj. 子中心的；接近中心点的；位于中心点下的
subequal,adj. 几乎相等的，近似相等的
subadult,"n. 接近成年的人；亚成体
adj. 接近成年的"
subarctic,adj. 亚北极的；亚北极区的；靠近北极的
subteen,"n. （为十三岁以下的女孩设计的）6-14童服尺码
adj. 13岁左右少年的"
subequatorial,adj. 亚赤道的，副赤道的
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
sublet,"n. 转租的房屋
vt. 转租，转包给"
subculture,"n. 亚文化群
vt. 作再次培养"
subtenant,n. 转租人
subcarbide,低碳化物
suboxide,n. 低值氧化物
subchloride,n. 低氯化物，氯化低价物，碱式氯化物
subsulphide, 低硫化物
superspeed,n. 极快的速度，超音速; 超高速
supertrain,n. 超级列车；高速火车
supersized,adj. 超大型的
superhighway,n. （美）超级高速公路（等于expressway）
supermarket,n. 超级市场；自助售货商店
superprofit,n. 超额利润
superpower,n. 超级大国；超级强权
supersecrecy, 绝密
supercountry,n. 超级大国
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
supercity,n. 超级城市，特大城市
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
superstructure,n. 上层建筑；上部构造
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
superimpose,vt. 添加；重叠；附加；安装
superstratum,n. 上层，覆盖物，上层语言
superaqueous,a. 水上的
superterrene,a. =superterranean；= superterrestrial
superexcitation,"n. 过度的兴奋, 过度的刺激
 兴奋过度"
superheat,"vt. 使过热
n. 过热"
supercharge,"n. 超负荷；过荷
vt. 对…增压；使…超载；使…过分；使…超负荷"
supercool,v. 过度冷却
supersensitive,adj. 过敏的；超灵敏的
supernutrition,n. 营养过多，滋养过多
supersaturate,vt. 使过度饱和
supra-class, 超阶级
supraconductivity,n. 超导电性
supra-politics,a. 超政治的
supranational,adj. 超国家的；超民族的
supramolecular,adj. 超分子的
supramundane,adj. 远离俗世的；世外的
suprarenal,adj. 肾脏上的，肾上腺的; 肾上部
supramaxilla,"n. 上颌,上颌骨"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
surrealism,n. 超现实主义
surpass,vt. 超越；胜过，优于；非…所能办到或理解
surcoat,n. 外衣；妇女穿的外衣
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
surmount,vt. 克服，越过；战胜
surtax,"n. 附加税
vt. 对…征收附加税"
surprint,vt. 在（已印好的印刷物）上套加印新材料; 套晒
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
sympathy,n. 同情；慰问；赞同
symmetry,n. 对称（性）；整齐，匀称
symphony,n. 交响乐；谐声，和声
symmetallism,n. 混合本位制
symbiosis,n.  共生；合作关系；共栖
synactic,"a. 一起工作的,合作的"
synchronous,adj. 同步的；同时的
synonym,n. 同义词；同义字
syntony,n. 共振，谐振
synthermal," 同温的, 等温的"
synthesis,n. 综合， 合成；综合体
tetracycline,n.  四环素（抗生素的一种）
tetrachord,n. 四度音阶，四弦琴
tetrode,n. 四极管
tetrasyllable,n. 四音节字
tetragon,n.  四角形
tetroxide,n. 四氧化物
transoceanic,adj. 横越海洋的；在海洋彼岸的
transpersonal,adj. 超越个人的
transnational,adj. 跨国的；超越国界的
transcontinental,adj. 横贯大陆的；大陆那边的
transfrontier,adj. 在国境外生活的；在国外做的
transpacific,adj. 横渡太平洋的，太平洋彼岸的
transatlantic,adj. 大西洋彼岸的，横渡大西洋的；美国的
transnormal,adj. 超常规的；异常的
transmarine,adj. 海外的，横越海洋的
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transship,"vt. 转运，转送；把…转载他船
vi. 换船"
transcode,v. 转换…的代码，把一种代码转换成另一种代码
transposition,n.  移项；调换；换置；变调
transvest,vt. 使穿异性衣服
transfigure,vt. 使变形；使改观；美化；理想化
translocation,n.  易位；迁移，移动；改变位置（半透明性）；置换
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
transmigrate,vi. 轮回，移居
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
tricolour,"n. 三色旗
adj. 三色的"
tricar,n. <英>三轮汽车，机器三轮车
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
trisyllable,n. 三音节的字
trigonometry,n. 三角法
trilateral,"n. 三角形
adj. 有三边的"
triatomic,adj. 由三个原子而成的，一分子中有三个原子的
trilingual,adj. 三种语言的
triunity,n. 三位一体
triweekly,"adj. 三星期一次的，一星期三次的
n. 三周刊，三周报"
trisection,"n. 三分, 三等分"
trijet,n. 三喷气发动机飞机，三引擎喷气机
twiformed,有两种形式的
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
twifold,"adv. 两倍地
a. 两倍的"
twiblade, 双叶兰
twiforked, 有两叉的；有兩叉的
ultra-democracy,n. 极端民主化
ultrapure,adj. 超纯的
ultra-left,adj. 极左的
ultra-reactionary,极端反动的
ultramilitant,"极端好战的
极端好斗的
极其富于战斗性的"
ultra-fashionable,找不到解释
ultracritical,adj. 过于批评的，吹毛求疵的
ultra-right,adj. 极右的
ultraclean,adj.  超净的
ultrathin,adj. 超薄的，极细的
ultramodern,adj. 超现代的，最新的
ultrared,adj. 红外（线）的
ultrashort,adj. 超短波的，极短的; 特短
ultramarine,"n. 深蓝色；天青石做成的蓝色颜料
adj. 群青色的；海外的"
ultrasonic,"n. 超声波
adj.  超声的；超音速的"
ultramontane,"n. 教皇绝对权力主义者，山外之人
adj. 山那边的"
ultra-microscope,超显微镜
ultra-violet,"n. 紫外线
 紫外线的；紫外灯光源；紫外光"
unreal,adj. 不真实的；假的；幻想的；虚构的
uncomfortable,adj. 不舒服的；不安的
unclear,adj. 不清楚的；不易了解的
unfriendly,"adj. 不友好的；不利的
adv. 不友善地"
unhappy,adj. 不快乐的；不幸福的；不适当的
unequal,"n. 不等同的事物
adj. 不平等的；不规则的；不胜任的"
unwelcome,"n. 冷淡
adj. 不受欢迎的；讨厌的；不被接受的
vt. 冷淡地对待"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
unclean,adj. 不纯洁的；行为不检的
uneconomic,adj. 不经济的；浪费的
unkind,adj. 无情的；不仁慈的，不厚道的
unchangeable,adj. 不变的；不能改变的；安定的
unconditional,adj. 无条件的；绝对的；无限制的
unmanned,"adj. 无人的；无人操纵的；被阉割的
v. 使失去男子气质（unman的过去式和过去分词形式）"
unsystematic,adj. 无系统的；无组织的
unambitious,adj. 无野心的；无名利心的；谦虚的
unlimited,adj. 无限制的；无限量的；无条件的
unaccented,adj. 无重音的；无抑扬的；非重音的
unfathered,adj. 私生的，出处不明的
unbodied,adj. 无实体的，无形的，离去躯体的
unbounded,adj. 无限的；不受控制的
unaccompanied,adj. 无伴奏的；无伴侣的；无伴随的
untitled,adj. 无称号的；无标题的；无权利的
unexampled,adj. 无可比拟的；无前例的
unjust,adj. 不公平的，不公正的；非正义的
unartistic,adj. 非艺术的，与艺术无关的
unofficial,adj. 非官方的；非正式的
unspecialized,adj. 非专门化的
unartificial,adj. 非人工的，自然的
unworldly,adj. 非尘世的；精神上的，非物质的；天真的
unsoldierly,adj. 非军人的; 不像军人的; 不适于军人的; 不英勇的
undesigned,adj. 偶然的
unalloyed,adj. 纯粹的； 非合金的
unprofessional,adj. 非职业性的，非专业的；外行的
unorthodox,adj. 非正统的；异端的；异教的
unintentional,adj. 非故意的；无意识的
uncorrected,"v. 使（真航向）转换为磁航向（uncorrect的过去式和过去分词）
adj. 未修正的；未加管教的；未调整的"
unchanged,adj. 未改变的
undecided,adj. 未定的；未决定的；不稳定的
unawaked, 未醒的
unfinished,adj. 未完成的
uncivilized,adj. 未开化的，不文明的
uneducated,"adj. 无知的；未受教育的
v. 未受教育（uneducate的过去分词）"
unripe,adj. 生的；未成熟的；未熟的；未准备好的
uncut,adj. 未切的；毛边的；未雕琢的；未割的
uninvited,adj. 未被邀请的；未经请求的
uncoloured,adj. 不受影响的
undeclared,adj. 未申报的；未经宣布的
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
untie,"vt. 解开；解决；使自由
vi. 解开；松开"
unbind,vt. 解开；解放
unbutton,"vt. 解开钮扣
vi. 解开钮扣；吐露"
uncap,"vt. 脱掉帽子；打开盖
vi. 脱帽致意"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
undress,"n. 便服；裸体
vt. 使脱衣服；使卸去装饰；暴露
vi. 脱衣服"
untomb,vt. 揭露；由坟墓中掘出
unearth,vt. 发掘；揭露，发现；从洞中赶出
uncase,vt. 除套，从箱子取出，暴露
unhouse,vt. 赶出家去，使无家可归
uncage,vt. 从笼中放出，解放
unbosom,"vt. 吐露；透露
vi. 剖明心迹；吐露心事"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
underworld,n. 黑社会；地狱；下层社会；尘世
underfoot,adv. 在脚下；践踏地；在脚下面
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
undersea,adj. 水下的；海面下的
underlay,"n. 衬底；衬垫物；支撑物
vt. 垫起；从下面支撑
vi. 倾斜；向下延伸"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underside,n. 下面；阴暗面
underclothing,n. 内衣；内衣裤
underthings,n. 女子内衣裤
undershirt,n. （美）汗衫；贴身内衣
underskirt,n. 内衣；衬裙
undervest,n. 内衣，<英>贴身衣
underpants,n. 内衣裤；衬裤
underwear,n. 内衣物
undershorts,n. （男式）短衬裤; 裤衩; 松身短衬裤
underpay,vt. 少付…工资；付给…不足额的工资
underproduction,n. 生产不足，供不应求
underestimate,"n. 低估
vt. 低估；看轻"
underdress,"vi. 穿得太单薄，穿着过分朴素的衣服
n. 内衣，裙子，内裙"
undermanned,"adj. 人员不足的；船员不足的
v. 使人员配备不足（underman的过去式）"
underfed,"adj. 营养不良的；没吃饱的；未喂饱的
v. 不充分供料（underfeed的过去式和过去分词）"
