accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
be granted for,找不到解释
legal,adj. 法律的；合法的；法定的；依照法律的
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
controversial,adj. 有争议的；有争论的
authorize,vt. 批准，认可；授权给；委托代替
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
intellectual property,"n. 知识产权
 智慧财产权；知识财产；智力资产"
lawyer,n. 律师；法学家
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
State Street Bank case,找不到解释
The Bilski case,找不到解释
U.S. Court of Appeals for the Federal Circuit,找不到解释
filing,"n. 文件归档；锉；锉屑
vt. 锉（file的现在分词）"
legal practice, 法律实践；法律实务；法律实习
curb on,找不到解释
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
justice,n. 司法，法律制裁；正义；法官，审判员
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
Supreme Court,找不到解释
attorney,n. 律师；代理人；检查官
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
decision,n. 决定，决心；决议
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
renege on, 食言；违背；违约
commitment,n. 承诺，保证；委托；承担义务；献身
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
constitutionality,n. 符合宪法；立宪
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
federal court,"na. 联邦法院
 联邦法庭；法院体系的；美国联邦法院"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
abide by,"na. 坚持；服从
 遵守；信守；遵循"
regulator,n. 调整者；监管者；校准器
permission,n. 允许，许可
approval,n. 批准；认可；赞成
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
legislature,n. 立法机关；立法机构
statement,n. 声明；陈述，叙述；报表，清单
agreement,n. 协议；同意，一致
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
legislation,n. 立法；法律
federal government,"na. (of the U.S.) 美国(中央)政府
 联邦政府；在联邦政府谋职；美国联邦政府"
regulatory,adj. 管理的；控制的；调整的
legal issue, 法律课题；法律问题；法律争点
authority,n. 权威；权力；当局
legal scholar, 法学家；法律学家
the Vermont case,找不到解释
precedent-setting, 先例性；开先例的；判例确立式的
valid,adj. 有效的；有根据的；合法的；正当的
patchwork regulation,找不到解释
keep one's word,"na. 守约；履行诺言；说话算话
 守信用；遵守诺言；信守诺言"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
reputation,n. 名声，名誉；声望
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
knock out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
immigration law,"n. 移民法规
 入出国及移民法；美国移民法；入境法"
modest policy,找不到解释
victory,n. 胜利；成功；克服
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
contested,"vt. 争辩；提出质疑
vi. 竞争；争辩
n. 竞赛；争夺；争论"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
enforce,vt. 实施，执行；强迫，强制
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
federal law, 联邦法；联邦法律；美国联邦法
state law, 州法；国家法；法律
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
noncontroversial,无争议的
chief justice,找不到解释
court's liberal justice,找不到解释
congress,n. 国会；代表大会；会议；社交
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
verify,vt. 核实；查证
legal status, 法律地位；法律状态；合法地位
law enforcement, 执法；法律的实施；法律实施
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
conflict with ...,找不到解释
federal statute,"联邦法规
联邦法例"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
violate the constitution,找不到解释
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
Alien and Sedition Acts, 客籍法和惩治叛乱法；敌视和煽动叛乱法案；外国人与煽动叛乱法
The White House,找不到解释
president,n. 总统；董事长；校长；主席
assertion,n. 断言，声明；主张，要求；坚持；认定
executive power,"n. 行政权
 行政管理权；执行权；行政权力"
priority,n. 优先；优先权； 优先次序；优先考虑的事
comply with,"v. 遵守
 遵从；依从；服从"
invalidate,vt. 使无效；使无价值
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
belong,vi. 属于，应归入；居住；适宜；应被放置
citizenship,n.  公民身份，公民资格；国籍；公民权
prevent ... from ...,找不到解释
immigration wish,找不到解释
hostility,n. 敌意；战争行动
profession,n. 职业，专业；声明，宣布，表白
client,n.  客户；顾客；委托人
legal service, 法律服务；律师服务；法律服务业
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
big-firm,大公司
law graduate,找不到解释
nuisance-lawsuit,找不到解释
filer,n. 锉磨工人；文件编档员；文件装钉员
tort,n. 侵权行为
law degree, 法律学位；法学学位；发音播放
Bar Association,找不到解释
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
the Bar,找不到解释
bar exam, 律师资格考试；律师考试；律考
debt,n. 债务；借款；罪过
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
state-level body,找不到解释
conservative,找不到解释
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
sit for,"na. 参加(学位,奖学金等)考试；作…候选人；坐着
 参加考试；参与；为……而坐下来谈谈"
would-be lawyer,找不到解释
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
guild,n. 协会，行会；同业公会
ownership,n. 所有权；物主身份
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
district,n. 区域；地方；行政区
non-lawyer, 非律师
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
law firm, 律师事务所；法律事务所；律师情人
fee,"n. 费用；酬金；小费
vt. 付费给……"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
ethically,adv. 伦理上
customer,n. 顾客；家伙
liberalize,"vt. 使自由化；宽大
vi. 自由化"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
amendment,n. 修正案；改善；改正
Fourth Amendment,找不到解释
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
assess,vt. 评定；估价；对…征税
guideline,"n. 指导方针
参考"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
define,vt. 定义；使明确；规定
lawmaker,n. 立法者
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
parliament,n. 议会，国会
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
incite,vt. 煽动；激励；刺激
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
take responsibility for, 对…负责；负责；负起对…的责任
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
impinge on,"v. 影响到；冲击；打击
 侵犯；撞击；紧密接触"
mediation,n. 调解；仲裁；调停
arbiter,n.  仲裁者；裁决人
punishment,n. 惩罚；严厉对待，虐待
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
compliance,n. 顺从，服从；承诺
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
unanimous,adj. 全体一致的；意见一致的；无异议的
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
jury,"n.  陪审团；评判委员会
adj. 应急的"
anti-bribery law,找不到解释
bribery,n.  贿赂；受贿；行贿
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
legally,adv. 合法地；法律上
bureaucratic,adj. 官僚的；官僚政治的
prosecution,n. 起诉，检举；进行；经营
plaintiff,n. 原告
constituency,n. （选区的）选民；支持者；（一批）顾客
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
citizen,n. 公民；市民；老百姓
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
equality,n. 平等；相等； 等式
integrity,n. 完整；正直；诚实；廉正
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
democratic,adj. 民主的；民主政治的；大众的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
undermine,vt. 破坏，渐渐破坏；挖掘地基
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
violate,vt. 违反；侵犯，妨碍；亵渎
arrestee,n. 被捕者
take steps to,"un. 采取措施
 实施措施；采取措施做；采取行动"
privacy,n. 隐私；秘密；隐居；隐居处
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
line-drawing,素描；线条画
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
cite,vt. 引用；传讯；想起；表彰
entitle,vt. 称做…；定名为…；给…称号；使…有权利
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
domain,n. 领域；域名；产业；地产
business,n. 商业； 生意； 交易；事情
business method,营业方法，营业手段
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
allocation,n. 分配，配置；安置
strategy,n. 战略，策略
scale back on,找不到解释
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
mutual-fund asset,找不到解释
explosion,n. 爆炸；爆发；激增
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
transaction,n. 交易；事务；办理；会报，学报
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
beat sb. to the punch, 先发制人；捷足先登；抢得先机
Wall Street,"n. 华尔街（美国纽约金融中心和证券交易所所在地）
 纽约华尔街；美国华尔街；墙街"
investment,n. 投资；投入；封锁
financial,adj. 金融的；财政的，财务的
financial crisis,"na. 财政危机
 金融危机；财务危机；经济危机"
product,n. 产品；结果； 乘积；作品
hedging,"n. 限制；模糊；对冲；套头交易；平衡交易；抛买
v. 围住；约束；限制（hedge的ing形式）"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
