ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
defection,n. 背叛；缺点；变节；脱党
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
infect,vt. 感染，传染
infection,n. 感染；传染；影响；传染病
infectious,adj. 传染的；传染性的；易传染的
universe,n. 宇宙；世界；领域
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advertisement,n. 广告，宣传
ad,n. 公元；广告（ad）
avert,vt. 避免，防止；转移
anniversary,n. 周年纪念日
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diversion,n. 转移；消遣；分散注意力
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
version,n. 版本；译文；倒转术
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
conversely,adv. 相反地
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
inversely,adv. 相反地；倒转地
perverse,adj. 堕落的，不正当的；倔强的；违反常情的
versus,prep. 对；与...相对；对抗
diverse,adj. 不同的；多种多样的；变化多的
diversity,n. 多样性；差异
versatile,adj. 多才多艺的；通用的，万能的；多面手的
knee,"n. 膝盖，膝
vt. 用膝盖碰"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
kneel,vi. 跪下，跪
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
laptop,n. 膝上型轻便电脑，笔记本电脑
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commercialism,n. 商业主义；营利主义；重商主义
mountain,n. 山；山脉
mountain,n. 山；山脉
mountainous,adj. 多山的；巨大的；山一般的
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
surmount,vt. 克服，越过；战胜
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
eminent,adj. 杰出的；有名的；明显的
prominent,adj. 突出的，显著的；杰出的；卓越的
maintain,vt. 维持；继续；维修；主张；供养
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
maintain,vt. 维持；继续；维修；主张；供养
maintenance,n. 维护，维修；保持；生活费用
detain,vt. 拘留；留住；耽搁
detention,n. 拘留；延迟；挽留
retain,vt. 保持；雇；记住
retention,n. 保留；扣留，滞留；记忆力；闭尿
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
sustenance,n. 食物；生计；支持
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
tenacious,adj. 顽强的；坚韧的；固执的；紧握的；黏着力强的
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contents,"n. 内容； 目录；要旨（content的复数）
v. 使满意（content的三单形式）"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
discontent,"n. 不满
adj. 不满的
vt. 使不满"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
checkpoint,n. 检查站，关卡
standpoint,n. 立场；观点
viewpoint,n. 观点，看法；视角
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appointment,n. 任命；约定；任命的职位
punctual,adj. 准时的，守时的；精确的
punctuality,n. 严守时间；正确；规矩
puncture,"n. 穿刺；刺痕
vt. 刺穿；揭穿；削弱
vi. 被刺穿；被戳破"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
rarely,adv. 很少地；难得；罕有地
scarcely,adv. 几乎不，简直不；简直没有
scarcity,n. 不足；缺乏
receive,"vt. 收到；接待；接纳
vi. 接收"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
receive,"vt. 收到；接待；接纳
vi. 接收"
receipt,"n. 收到；收据；收入
vt. 收到"
reception,n. 接待；接收；招待会；感受；反应
receiver,n. 接收器；接受者；收信机；收款员，接待者
receptor,n.  受体；接受器；感觉器官
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
conceited,adj. 自负的；狂想的；逞能的
deceive,v. 欺骗；行骗
deception,n. 欺骗，欺诈；骗术
deceit,n. 欺骗；谎言；欺诈手段
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
commonwealth,n. 联邦；共和国；国民整体
communism,n. 共产主义
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
communique,n. 公报，官报
community,n. 社区； 群落；共同体；团体
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯， 通信；交流；信函
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immunize,vt. 使免疫；赋予免疫性
immunise,vt. 使某人免疫
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
regularity,n. 规则性；整齐；正规；匀称
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
irregularly,adv. 不规则地；不整齐地
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
deregulation,n. 违反规定，反常；撤消管制规定
regulatory,adj. 管理的；控制的；调整的
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
regal,adj. 帝王的；王室的；豪华的；庄严的
regime,n. 政权，政体；社会制度；管理体制
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
region,n. 地区；范围；部位
realm,n. 领域，范围；王国
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
handful,n. 少数；一把；棘手事
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
handshake,n. 握手
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
emancipate,vt. 解放；释放
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manner,n. 方式；习惯；种类；规矩；风俗
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
manual,"adj. 手工的；体力的
n. 手册，指南"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
apprehension,n. 理解；恐惧；逮捕；忧惧
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recommendation,n. 推荐；建议；推荐信
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
centralise,vt. 把…集中起来；形成中心
centralization,n. 集中化；中央集权管理
decentralize,"n. 分散
vt. 使分散；使分权；疏散
vi. 分散集权；疏散"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentration,n. 浓度；集中；浓缩；专心；集合
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
recyclable,adj. 可回收利用的；可再循环的
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
encircle,vt. 包围；围绕；环绕
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circus,n. 马戏；马戏团
circumference,n. 圆周；周长；胸围
circumstance,n. 环境，情况；事件；境遇
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
approximately,adv. 大约，近似地；近于
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
calculate on,"na. 预料；期待
 指望着；依靠；依赖"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
reckon on,"v. 依赖；寄望于
 指望；依靠；希冀，倚赖"
depend on,"v. 依靠
 依赖；取决于；视……而定"
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
hinge on,"v. 随…而定；依赖
 取决于；以…为转移；靠…转动"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
