code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
dollar,n. 美元
helpless,adj. 无助的；无能的；没用的
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
huge,adj. 巨大的；庞大的；无限的
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
certainly,adv. 当然；行（用于回答）；必定
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
happiness,n. 幸福
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
network,n. 网络；广播网；网状物
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
actor,n. 男演员；行动者；作用物
always,adv. 永远，一直；总是；常常
lowland,"n. 低地；苏格兰低地
adj. 低地的；苏格兰低地的"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
eastward,"n. 东部；东方
adj. 向东方的；朝东的
adv. 向东"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
heartbeat,n. 心跳；情感
duty,n. 责任； 关税；职务
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
mile,n. 英里；一英里赛跑；较大的距离
society,n. 社会；交往；社团；社交界
sunlight,n. 日光
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
lawful,adj. 合法的；法定的；法律许可的
skill,n. 技能，技巧；本领，技术
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
manager,n. 经理；管理人员
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
health,n. 健康；卫生；保健；兴旺
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
recently,adv. 最近；新近
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
freedom,n. 自由，自主；直率
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
cafeteria,n. 自助餐厅
begin,"vi. 开始；首先
vt. 开始"
educator,n. 教育家；教育工作者；教师
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
north,找不到解释
classmate,n. 同班同学
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
path,n. 道路；小路；轨道
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
nearly,adv. 差不多，几乎；密切地
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
sea,n. 海；海洋；许多；大量
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
Australia,n. 澳大利亚，澳洲
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
usually,adv. 通常，经常
additional,adj. 附加的，额外的
cloth,"n. 布；织物；桌布
adj. 布制的"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
electricity,n. 电力；电流；强烈的紧张情绪
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
onion,n. 洋葱；洋葱头
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
other,"adj. 其他的，另外的
pron. 另外一个"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
darling,n. 心爱的人；亲爱的
danger,n. 危险；危险物，威胁
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
hunter,n. 猎人；猎犬；搜寻者
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
earthquake,n. 地震；大动荡
happen,vi. 发生；碰巧；偶然遇到
laughter,n. 笑；笑声
thief,n. 小偷，贼
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
several,"adj. 几个的；各自的
pron. 几个；数个"
addition,n. 添加； 加法；增加物
maker,n. 制造者；造物主；出期票人
cloudy,adj. 多云的；阴天的；愁容满面的
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
software,n. 软件
foolish,adj. 愚蠢的；傻的
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
explanation,n. 说明，解释；辩解
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
confident,adj. 自信的；确信的
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
technical,adj. 工艺的，科技的；技术上的；专门的
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
incorrect,adj. 错误的，不正确的；不适当的；不真实的
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
childhood,n. 童年时期；幼年时代
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
twice,adv. 两次；两倍
idea,n. 想法；主意；概念
management,n. 管理；管理人员；管理部门；操纵；经营手段
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
hour,n. 小时；钟头；课时；…点钟
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
between,"prep. 在…之间
adv. 在中间"
disagree,vi. 不同意；不一致；争执；不适宜
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
zero,"num. 零
n. 零点，零度"
math,n. 数学（等于mathematics）
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
policy,n. 政策，方针；保险单
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
village,n. 村庄；村民；（动物的）群落
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
ever,adv. 永远；曾经；究竟
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
shopper,n. 购物者；顾客
crazy,adj. 疯狂的；狂热的，着迷的
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
reality,n. 现实；实际；真实
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
successful,adj. 成功的；一帆风顺的
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
alive,adj. 活着的；活泼的；有生气的
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
beneath,"prep. 在…之下
adv. 在下方"
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
human,"n. 人；人类
adj. 人的；人类的"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
illness,n. 病；疾病
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
magical,adj. 魔术的；有魔力的
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
editor,n. 编者，编辑；社论撰写人；编辑装置
mall,n. 购物商场；林荫路；铁圈球场
climate,n. 气候；风气；思潮；风土
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
interesting,adj. 有趣的；引起兴趣的，令人关注的
song,n. 歌曲；歌唱；诗歌；鸣声
goods,n. 商品；动产；合意的人；真本领
junk,n. 垃圾，废物；舢板
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
coat,"n. 外套
vt. 覆盖…的表面"
usual,adj. 通常的，惯例的；平常的
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
salad,n. 色拉；尤指莴苣
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
become,"vt. 适合；相称
vi. 成为；变得；变成"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
turtle,n. 龟，甲鱼；海龟
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
newspaper,"n. 报纸
报社
旧报纸"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
