emperor,n. 皇帝，君主
waterfront,"n. 滩，海滨；水边
adj. 滨水区的"
generic,adj. 类的；一般的；属的；非商标的
cricket,n. 板球，板球运动；蟋蟀
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
creation,n. 创造，创作；创作物，产物
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
synthesis,n. 综合， 合成；综合体
excreta,n. 排泄物，分泌物
decapitate,vt. 斩首；解雇；使无效
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
naive,"adj. 天真的,幼稚的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
consumption,n. 消费；消耗；肺痨
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
ecology,n. 生态学；社会生态学
profession,n. 职业，专业；声明，宣布，表白
for instance,"na. 例如
 比如；举例说；举例来说"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
dredge,"n. 挖泥船，疏浚机；拖捞网
vt. （用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）
vi. 疏浚，挖掘；采捞"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
highway,n. 公路，大路；捷径
concede,"vi. 让步
vt. 承认；退让；给予，容许"
chef,n. 厨师，大师傅
complaint,n. 抱怨；诉苦；疾病；委屈
irritable,adj. 过敏的；急躁的；易怒的
legislation,n. 立法；法律
bouncing,"v. 弹跳（bounce的ing形式）
adj. 跳跃的；巨大的；活泼的"
sizeable,adj. 大的，相当大的
innovative,adj. 革新的，创新的；新颖的；有创新精神的
congestion,n. 拥挤；拥塞；淤血
particulate,"n. 微粒
a. 微粒的"
pollutant,n. 污染物
megacity,n. 大城市（人口超过1000万的）
allergic,adj. 对…过敏的；对…极讨厌的
populace,n. 大众；平民；人口
proclaim,vt. 宣告，公布；声明；表明；赞扬
supervision,n. 监督，管理
comparable,adj. 可比较的；比得上的
habitual,adj. 习惯的；惯常的；习以为常的
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
picturesque,adj. 独特的；生动的；别致的；图画般的
afield,adv. 在战场上；去野外；在远处；远离著
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
mediocre,adj. 普通的；平凡的；中等的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
define,vt. 定义；使明确；规定
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
approval,n. 批准；认可；赞成
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
zone,  地带、地区（德语）
diagram,"n. 图表；图解
vt. 用图解法表示"
raw material,"n. 原料
 原材料；原物料；生料"
slouch,"n. 下垂；笨拙的人，懒散的人；懒散的样子
vt. 使下垂
vi. 没精打采地站；耷拉"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
horizon,n.  地平线；视野；眼界；范围
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
courageous,adj. 有胆量的，勇敢的
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
preferable,adj. 更好的，更可取的；更合意的
biometrics,n.  生物统计学； 生物测定学；寿命统计
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
corpus,n.  语料库；文集；本金
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
conjunction,n. 结合； 连接词；同时发生
height,n. 高地；高度；身高；顶点
escalator,n. （美）自动扶梯；电动扶梯
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
continually,adv. 不断地；频繁地
adequate,adj. 充足的；适当的；胜任的
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
grateful,adj. 感谢的；令人愉快的，宜人的
organ,n.  器官；机构；风琴；管风琴；嗓音
rely,vi. 依靠；信赖
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
at least,"na. 至少
 最低限度；起码；最少"
technical,adj. 工艺的，科技的；技术上的；专门的
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
hitherto,adv. 迄今；至今
accomplish,vt. 完成；实现；达到
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
enclosure,n. 附件；围墙；围场
discontinue,"vt. 停止；使中止
vi. 停止，中断"
revegetate,v. 再生长，再植
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
dispersal,n. 分散；传播；散布；疏散；消失
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
retailing,"n. 零售业
v. 零售（retail的ing形式）"
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
obsession,n. 痴迷；困扰； 强迫观念
fraught,adj. 担心的，忧虑的；充满…的
ethereal,adj. 优雅的；轻飘的；缥缈的；超凡的
unobtrusive,adj. 不唐突的；谦虚的；不引人注目的
underpin,vt. 巩固；支持；从下面支撑；加强…的基础
nutritional,adj. 营养的；滋养的
velocity,n. 速度
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
prototype,n. 原型；标准，模范
swivel,"n. 转环；转椅座架
vt. 使旋转
vi. 旋转"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
capsize,"vt. 倾覆（特指船）；翻覆；弄翻
vi. 翻；倾覆；翻覆"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
thorny,adj. 多刺的；痛苦的；令人苦恼的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
bacterial,adj.  细菌的
management,n. 管理；管理人员；管理部门；操纵；经营手段
enrolment,n. 登记，注册；入学
strategy,n. 战略，策略
emerge,vi. 浮现；摆脱；暴露
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
granite,n. 花岗岩；坚毅；冷酷无情
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
community,n. 社区； 群落；共同体；团体
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
cite,vt. 引用；传讯；想起；表彰
spectrum,n. 光谱；频谱；范围；余象
drawback,n. 缺点，不利条件；退税
identity,n. 身份；同一性，一致；特性；恒等式
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
vested,"v. （财产、权利等）授予（vest的过去式和过去分词）；使穿衣服
adj. 既定的；穿着衣服（尤指祭服）的；（美）带背心的（指西服套装）"
symphony,n. 交响乐；谐声，和声
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
classify,vt. 分类；分等
enthusiastic,adj. 热情的；热心的；狂热的
alter,"vt. 改变，更改
vi. 改变；修改"
disqualify,vt. 取消…的资格
database,n. 数据库，资料库
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
delivery,n.  交付；分娩；递送
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
ash,n. 灰；灰烬
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
inventory,n. 存货，存货清单；详细目录；财产清册
event,n. 事件，大事；项目；结果
crucial,adj. 重要的；决定性的；定局的；决断的
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
aeration,n.  曝气；通风；充气
profitable,adj. 有利可图的；赚钱的；有益的
virus,n.  病毒；恶毒；毒害
faith,n. 信仰；信念；信任；忠实
cafeteria,n. 自助餐厅
involve,vt. 包含；牵涉；使陷于；潜心于
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
confirm,vt. 确认；确定；证实；批准；使巩固
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
hurricane,n. 飓风，暴风
subsidise,vt. 给…津贴或补贴，资助或补助…
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
conversion,n. 转换；变换； 兑换；改变信仰
irrelevant,adj. 不相干的；不切题的
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
extol,vt. 颂扬；赞美；赞颂
albeit,conj. 虽然；即使
obstacle,n. 障碍，干扰；妨害物
meagre,adj. 瘦的；贫弱的；贫乏的
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
precarious,adj. 危险的；不确定的
autonomy,n. 自治，自治权
credibility,n. 可信性；确实性
onslaught,n. 猛攻；突击
curtail,vt. 缩减；剪短；剥夺…特权等
correlation,n.  相关，关联；相互关系
afflicting,"adj. 痛苦的
v. 使苦恼（afflict的ing形式）"
simulation,n. 仿真；模拟；模仿；假装
incongruous,adj. 不协调的；不一致的；不和谐的
remuneration,n. 报酬；酬劳，赔偿
intermix,"vt. 使…混杂；使…混合
vi. 混杂；混和"
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
hypnotic,"n. 安眠药；催眠状态的人
adj. 催眠的，催眠术的；易于催眠的"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
technician,n. 技师，技术员；技巧纯熟的人
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
mainstream,n. 主流
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
inject,vt. 注入；注射
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
grid,n. 网格；格子，栅格；输电网
aeroplane,n. 飞机（等于airplane）
controversial,adj. 有争议的；有争论的
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
reputation,n. 名声，名誉；声望
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
