considerable,adj. 相当大的；重要的，值得考虑的
plastic bag,"n. 胶袋
 塑料袋；塑胶袋；求购塑料袋"
pollutant,n. 污染物
polluter,n. 污染者；污染源；污染物质
pollution,"n. 污染
污染物"
radioactive,adj.  放射性的；有辐射的
rainfall,n. 降雨；降雨量
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
refuse disposable goods,找不到解释
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
reuse,"n. 重新使用，再用
vt. 再使用"
sustainable development strategy,找不到解释
water conservation,"un. 水利事业；水资源保护；水源保护；蓄水
 节约用水；节水；水保护"
water pollution,"n. 水污染
 水质污染；水源污染；水体污染"
water resource,"un. 水资源；水利资源
 水姿媛；水利自动化技术；水资源问题"
white pollution, 白色污染；噪音污染；净化
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
acquaintance,n. 熟人；相识；了解；知道
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
cognition,n. 认识；知识；认识能力
conscious,adj. 意识到的；故意的；神志清醒的
subliminal,"n. 潜意识；阈下意识
adj.  阈下的；潜在意识的；微小得难以察觉的"
subliminally,adv. 下意识地；潜意识地
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
detect,vt. 察觉；发现；探测
comprehend,vt. 理解；包含；由…组成
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
coexistence,n. 共存；和平共处；并立
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
survival,n. 幸存，残存；幸存者，残存物
biophysical environment,找不到解释
cave man,"n. (史前)穴居人；野蛮人
 山顶洞人；住在洞里的人；洞穴人"
common descent,找不到解释
cranial,adj. 头盖的
Darwin,n. 达尔文（①姓氏， 男子名 ②Charles Robert， 1809-1882， 英国博物学家， 进化论创始人 ③澳大利亚港市）
Darwinism,n. 达尔文学说；达尔文主义；进化论
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
degradation,n. 退化；降格，降级；堕落
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
directional selection,定向选择
ecological anthropologist,找不到解释
evolutionary change, 进化变迁；演进式变革；渐进式变革
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
evolutionary,adj. 进化的；发展的；渐进的
extinction,n. 灭绝；消失；消灭；废止
food chain,"n. 食物链
 食品链；海洋食物链；事物链"
hominid,"n. 原始人类；人科动物
adj. 人类及其祖先的"
natural selection,"n. 自然选择；物竞天择
 自然淘汰；自然选择学说；天择说"
offspring,n. 后代，子孙；产物
origin,n. 起源；原点；出身；开端
outgrow,vt. 过大而不适于；出生；长大成熟而不再
paleoanthropologist,n.  古人类学者
paleoanthropology,n. 古人类学
psychological anthropologist,找不到解释
weed out,"na. 肃清；恣意多取(自己不该分取的利益等)
 清除；除去；淘汰"
consecutive,adj. 连贯的；连续不断的
successive,adj. 连续的；继承的；依次的；接替的
constantly,adv. 不断地；时常地
fitful,adj. 一阵阵的；断断续续的；不规则的；间歇的
frequency,n. 频率；频繁
frequently,adv. 频繁地，经常地；时常，屡次
incessant,adj. 不断的；不停的；连续的
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
occasional,adj. 偶然的；临时的；特殊场合的
occasionally,adv. 偶尔；间或
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
periodically,adv. 定期地；周期性地；偶尔；间歇
journal,n. 日报，杂志；日记；分类账
magazine,n. 杂志；弹药库；胶卷盒
perpetual,adj. 永久的；不断的；四季开花的；无期限的
eternal,adj. 永恒的；不朽的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
continuous,adj. 连续的，持续的；继续的；连绵不断的
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
composer,n. 作曲家；作家，著作者；设计者
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
studious,adj. 用功的；热心的；专心的；故意的；适于学习的
avoidance,n. 逃避；废止；职位空缺
avoid,vt. 避免；避开，躲避；消除
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
repeatedly,adv. 反复地；再三地；屡次地
austerity,n. 紧缩；朴素；苦行；严厉
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
diligence,n. 勤奋，勤勉；注意的程度
forgiveness,n. 宽恕；宽仁之心
gentilesse,n. 温柔，礼貌
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
honesty,n. 诚实，正直
humility,n. 谦卑，谦逊
kindness,n. 仁慈；好意；友好的行为
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
morality,n. 道德；品行，美德
moralism,n. 道德主义；格言；教训
norm,n. 标准，规范
superstructure,n. 上层建筑；上部构造
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
valor,n. 英勇；勇猛（等于valour）
virtue,n. 美德；优点；贞操；功效
willpower,n. 意志力；毅力
album,n. 相簿；唱片集；集邮簿；签名纪念册
blues,"n. 忧郁布鲁斯歌曲；蓝色物（blue的复数）
v. 把…染成蓝色（blue的第三人称单数）"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
composition,n. 作文，作曲，作品； 构成；合成物；成分
country-folk,"na. 乡下人；同国人
 乡村-民谣"
country-pop, 乡村流行；乡村音乐；流行乡村音乐
cowboy,n. 牛仔；牧童；莽撞的人
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
hip-hop,n. 街舞，即兴音乐；嘻哈
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
melodic,adj. 有旋律的；音调优美的
melody,n. 旋律；歌曲；美妙的音乐
music,n. 音乐，乐曲
musical,"adj. 音乐的；悦耳的
n. 音乐片"
notation,n. 符号；乐谱；注释；记号法
punk,"n. 废物；小阿飞；年轻无知的人
adj. 朋客，崩客；无用的，低劣的"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
reggae,n. 瑞格舞（西印度群岛的一种舞蹈及舞曲）
royalty,n. 皇室；版税；王权；专利税
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
tempo,n. 速度，发展速度；拍子
timbre,n.  音色；音质；音品
tuneful,adj. 和谐的；音调优美的；悦耳的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
duplication,n. 复制；副本；成倍
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
commence,v. 开始；着手；<英>获得学位
commencement,n. 开始，发端；毕业典礼
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
inauguration,n. 就职典礼；开始，开创；开幕式
inaugural,"n. 就职演讲；开幕辞
adj. 开始的；开幕的；就任的，就职的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
threshold,n. 入口；门槛；开始；极限；临界值
doorway,n. 门口；途径
outset,n. 开始；开端
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
generalization,n. 概括；普遍化；一般化
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
prescriptivism,n. 规定主义（指传统语法）
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
variety,n. 多样；种类；杂耍；变化，多样化
language,n. 语言；语言文字；表达能力
inherently,adv. 内在地；固有地；天性地
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
adaptable,adj. 适合的；能适应的；可修改的
adaption,n. 适应；改编本
advisable,adj. 明智的，可取的，适当的
becoming,"n. （变化过程的）形成，发生
adj. 合适的，适当的"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
concur,vi. 同意；一致；互助
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
conformity,n. 一致，适合；符合；相似
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
pertinent,adj. 相关的，相干的；中肯的；切题的
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
properly,adv. 适当地；正确地；恰当地
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitable,adj. 适当的；相配的
abridge,vt. 删节；缩短；节略
clause,n. 条款； 子句
concise,adj. 简明的，简洁的
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
grammar,n. 语法；语法书
implicit,adj. 含蓄的；暗示的；盲从的
lexical,adj. 词汇的； 词典的；词典编纂的
lingual,"adj. 语言的；舌的，舌音的
n. 舌音，舌音字"
parlance,n. 说法；用语；语调；发言
phonemics,n. 音位学（尤指音段音位学）
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
symbol,n. 象征；符号；标志
symbolic,adj. 象征的；符号的；使用符号的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
species,"n.  物种；种类
adj. 物种上的"
indication,n. 指示，指出；迹象；象征
rural,adj. 农村的，乡下的；田园的，有乡村风味的
urban,adj. 城市的；住在都市的
urbanization,n. 都市化；文雅化
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
demonstration,n. 示范；证明；示威游行
denote,vt. 表示，指示
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
disclose,vt. 公开；揭露
conceal,vt. 隐藏；隐瞒
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
exhibition,n. 展览，显示；展览会；展览品
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
presentation,n. 展示；描述，陈述；介绍；赠送
proclaim,vt. 宣告，公布；声明；表明；赞扬
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
proclamation,n. 公告；宣布；宣告；公布
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
disclosure,n.  披露；揭发；被揭发出来的事情
concealment,n. 隐藏，隐蔽；隐匿处
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
cheap living expenses,找不到解释
economic gap,"un. 经济差距
 贫富差距；经济差异"
extension,n. 延长；延期；扩大；伸展；电话分机
hamlet,n. 小村庄
idyllic,"牧歌的
田园诗的
悠闲的"
imbalance,n. 不平衡；不安定
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
infrastructure,n. 基础设施；公共建设；下部构造
locality,n. 所在；位置；地点
low crime rate,找不到解释
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
on the brink of,"na. 即将要
 濒于；濒临；在……的边缘"
outskirts,n. 市郊，郊区
pastoral,"n. 牧歌；田园诗；田园景色
adj. 牧师的；牧人的；田园生活的；乡村的"
quietness,n. 平静，安静
