gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
accumulate,"vt. 积攒
vi. 累积；积聚"
convey,vt. 传达；运输；让与
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
mislead,vt. 误导；带错
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
incredible,adj. 难以置信的，惊人的
enforce,vt. 实施，执行；强迫，强制
maintain,vt. 维持；继续；维修；主张；供养
destiny,n. 命运，定数，天命
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
comply,vi. 遵守；顺从，遵从；答应
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
deaf,adj. 聋的
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
bandage,"n. 绷带
vt. 用绷带包扎"
beneath,"prep. 在…之下
adv. 在下方"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
uncomfortable,adj. 不舒服的；不安的
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
apartment,n. 公寓；房间
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
tonight,"n. 今晚
adv. 在今晚"
unconditional,adj. 无条件的；绝对的；无限制的
universe,n. 宇宙；世界；领域
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
mentor,"n. 指导者，良师益友
vt. 指导"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
magnet,n. 磁铁； 磁体；磁石
ego,n. 自我；自负；自我意识
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
county,n. 郡，县
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
gravitation,n. 重力；万有引力；地心吸力
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
core,找不到解释
inherent,adj. 固有的；内在的；与生俱来的，遗传的
induce,vt. 诱导；引起；引诱；感应
nourish,vt. 滋养；怀有；使健壮
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
disagreement,n. 不一致；争论；意见不同
librarian,n. 图书馆员；图书管理员
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
phenomenon,n. 现象；奇迹；杰出的人才
unit,n. 单位，单元；装置； 部队；部件
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
construct,"n. 构想，概念
vt. 建造，构造；创立"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
consultant,n. 顾问；咨询者；会诊医生
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
underlie,vt. 成为……的基础；位于……之下
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
mechanic,"n. 技工，机修工
adj. 手工的"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
cultivate,vt. 培养；陶冶；耕作
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
highway,n. 公路，大路；捷径
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
civilization,n. 文明；文化
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
headache,n. 头痛；麻烦；令人头痛之事
describe,vt. 描述，形容；描绘
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
protect,vt. 保护，防卫；警戒
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
cheers,v. 感谢；谢谢；再见
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
bureaucratic,adj. 官僚的；官僚政治的
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
confidential,adj. 机密的；表示信任的；获信任的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
freshman,n. 新手，生手；大学一年级学生
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
corridor,走廊
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
tempo,n. 速度，发展速度；拍子
implicit,adj. 含蓄的；暗示的；盲从的
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
brow,n. 眉，眉毛；额；表情
apt,adj. 恰当的；有…倾向的；灵敏的
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
exception,n. 例外；异议
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
organic,adj.  有机的；组织的；器官的；根本的
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
imitate,vt. 模仿，仿效；仿造，仿制
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
carrier,n.  载体；运送者；带菌者；货架
interval,n. 间隔；间距；幕间休息
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
devote,vt. 致力于；奉献
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
request,"n. 请求；需要
vt. 要求，请求"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
appointment,n. 任命；约定；任命的职位
occupation,n. 职业；占有；消遣；占有期
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
appearance,n. 外貌，外观；出现，露面
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
district,n. 区域；地方；行政区
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
huge,adj. 巨大的；庞大的；无限的
pavement,"n. 人行道
路面"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
intelligent,adj. 智能的；聪明的；理解力强的
emphasis,n. 重点；强调；加强语气
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
ruthless,adj. 无情的，残忍的
deceive,v. 欺骗；行骗
emerge,vi. 浮现；摆脱；暴露
assert,vt. 维护，坚持；断言；主张；声称
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
dam,"n.  水坝；障碍
v. 控制；筑坝"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
rehearse,"vt. 排练；预演
vi. 排练；演习"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
unemployment,n. 失业；失业率；失业人数
application,n. 应用；申请；应用程序；敷用
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
accessible,adj. 易接近的；可进入的；可理解的
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
instrument,n. 仪器；工具；乐器；手段；器械
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
architecture,n. 建筑学；建筑风格；建筑式样；架构
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
