dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
wonderland,n. 奇境，仙境；非常奇妙的地方
delicious,adj. 美味的；可口的
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
violin,n. 小提琴；小提琴手
computer,n. 计算机；电脑；电子计算机
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
dozen,"n. 十二个，一打
adj. 一打的"
magazine,n. 杂志；弹药库；胶卷盒
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
subway,"n. 地铁；地道
vi. 乘地铁"
chopstick,n. 筷子
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
office,n. 办公室；政府机关；官职；营业处
food,n. 食物；养料
eyeball,"n. 眼球；眼珠子
vt. 盯住看；仔细对…打量
vi. 仔细打量；盯着"
suitcase,n.  手提箱；衣箱
data,n. 数据（datum的复数）；资料
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
elephant,n. 象；大号图画纸
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
poem,n. 诗
sea,n. 海；海洋；许多；大量
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
during,prep. 在…的时候，在…的期间
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
hero,n. 英雄；男主角，男主人公
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
month,n. 月，一个月的时间
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
window,n. 窗；窗口；窗户
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
city,"n. 城市，都市
adj. 城市的；都会的"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
meantime,"n. 其时，其间
adv. 同时；其间"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
hardware,n. 计算机硬件；五金器具
fountain,n. 喷泉，泉水；源泉
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
pigeon,n. 鸽子
meat,n. 肉，肉类（食用）
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
chef,n. 厨师，大师傅
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
cream,n. 奶油，乳脂；精华；面霜；乳酪
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
pumpkin,n. 南瓜
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
waterfall,n. 瀑布；瀑布似的东西
password,n. 密码；口令
biscuit,n. 小点心，饼干
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
thing,n. 事情；东西；事物；情况
grassland,n. 草原；牧草地
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
team,"n. 队；组
vt. 使合作
vi. 合作"
superman,n. 超人，能力非凡的
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
spacecraft,n.  宇宙飞船，航天器
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
cookie,n. 饼干；小甜点
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
talent,n. 才能；天才；天资
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
diary,n. 日志，日记；日记簿
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
because,conj. 因为
stair,n. 楼梯，阶梯；梯级
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
animal,"n. 动物
动物的"
champagne,n. 香槟酒；香槟酒色
yesterday,"n. 昨天；往昔
adv. 昨天"
piano,n. 钢琴
seem,vi. 似乎；像是；装作
kilogram,n. 公斤；千克
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
length,n. 长度，长；时间的长短；（语）音长
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
pop,abbr. 卖点广告（Point of Purchase）
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
clever,"adj. 聪明的；机灵的；熟练的
"
countryside,n. 农村，乡下；乡下的全体居民
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
basketball,n. 篮球；篮球运动
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
height,n. 高地；高度；身高；顶点
door,n. 门；家，户；门口；通道
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
restaurant,n. 餐馆； 饭店
era,n. 时代；年代；纪元
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
aloud,adv. 大声地；出声地
handbag,n. 手提包
potato,n.  土豆， 马铃薯
beast,n. 野兽；畜生，人面兽心的人
coastline,n. 海岸线
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
become,"vt. 适合；相称
vi. 成为；变得；变成"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
dentist,"n. 牙科医生
牙医诊所"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
pregnant,adj. 怀孕的；富有意义的
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
luggage,n. 行李；皮箱
legend,n. 传奇；说明；图例；刻印文字
vitamin,n.  维生素； 维他命
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
exam,n. 考试；测验
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
begin,"vi. 开始；首先
vt. 开始"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
wheat,n. 小麦；小麦色
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
passport,n. 护照，通行证；手段
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
would,"aux. 将，将要；愿意
v. will的过去式"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
weekday,n. 平日，普通日；工作日
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
between,"prep. 在…之间
adv. 在中间"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
chest,n. 胸，胸部；衣柜；箱子；金库
beauty,n. 美；美丽；美人；美好的东西
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
jeans,n. 牛仔裤；工装裤
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
athlete,n. 运动员，体育家；身强力壮的人
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
