unofficial,adj. 非官方的；非正式的
invoke,vt. 调用；祈求；引起；恳求
provoke,vt. 驱使；激怒；煽动；惹起
elicit,vt. 抽出，引出；引起
explicit,adj. 明确的；清楚的；直率的；详述的
implicit,adj. 含蓄的；暗示的；盲从的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
inexplicable,adj. 费解的；无法说明的；不能解释的
inextricable,adj. 逃脱不掉的；解不开的
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
prerequisite,"n. 先决条件
adj. 首要必备的"
costly,adj. 昂贵的；代价高的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
flexible,adj. 灵活的；柔韧的；易弯曲的
influx,n. 流入；汇集；河流的汇集处
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
oscillate,"vt. 使振荡；使振动；使动摇
vi. 振荡；摆动；犹豫"
vacillate,vi. 犹豫；踌躇；摇摆
sporadic,adj. 零星的；分散的；不定时发生的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
eradicate,vt. 根除，根绝；消灭
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
corroborate,vt. 证实；使坚固
collaborate,vi. 合作；勾结，通敌
laborious,adj. 勤劳的；艰苦的；费劲的
notorious,adj. 声名狼藉的，臭名昭著的
discreet,adj. 谨慎的；小心的
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discrepancy,n. 不符；矛盾；相差
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
restrain,vt. 抑制，控制；约束；制止
constrain,vt. 驱使；强迫；束缚
restrict,vt. 限制；约束；限定
constrict,vt. 压缩；束紧
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
counteract,vt. 抵消；中和；阻碍
counterpart,n. 副本；配对物；极相似的人或物
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
expedition,n. 远征；探险队；迅速
conscious,adj. 意识到的；故意的；神志清醒的
conscience,n. 道德心，良心
accustom,vt. 使习惯于
acclimate,"vt. 使适应；使服水土
vi. 服水土；适应新环境"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
justice,n. 司法，法律制裁；正义；法官，审判员
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
momentous,adj. 重要的；重大的
momentary,adj. 瞬间的；短暂的；随时会发生的
momentum,n. 势头； 动量；动力；冲力
memorable,adj. 显著的，难忘的；值得纪念的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
commemorate,vt. 庆祝，纪念；成为…的纪念
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
dissuade,vt. 劝阻，劝止
confident,adj. 自信的；确信的
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
evident,adj. 明显的；明白的
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
imminent,adj. 即将来临的；迫近的
preeminent,adj. 卓越的；超群的
prominent,adj. 突出的，显著的；杰出的；卓越的
intermittent,adj. 间歇的；断断续续的；间歇性
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
exterminate,vt. 消灭；根除
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
emanate,"vi. 发出；散发；发源
vt. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
contaminate,vt. 污染，弄脏
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determinate,"adj. 确定的；决定的
vt. 确定；弄清楚"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
renovate,vt. 更新；修复；革新；刷新
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
luxuriant,adj. 繁茂的；丰富的；奢华的；肥沃的
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakthrough,n. 突破；突破性进展
liberty,n. 自由；许可；冒失
literal,adj. 文字的；逐字的；无夸张的
literature,n. 文学；文献；文艺；著作
literate,"adj. 受过教育的；精通文学的
n. 学者"
obliterate,vt. 消灭；涂去；冲刷；忘掉
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
accumulate,"vt. 积攒
vi. 累积；积聚"
formulate,vt. 规划；用公式表示；明确地表达
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
imitate,vt. 模仿，仿效；仿造，仿制
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
spontaneous,adj. 自发的；自然的；无意识的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
posterity,n. 子孙，后裔；后代
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
acknowledge,vt. 承认；答谢；报偿；告知已收到
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
fraudulent,adj. 欺骗性的；不正的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
comprise,vt. 包含；由…组成
enterprise,n. 企业；事业；进取心；事业心
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
barometer,n.  气压计；晴雨表；显示变化的事物
parameter,n. 参数；系数；参量
periphery,n. 外围，边缘；圆周；圆柱体表面
chronic,adj. 慢性的；长期的；习惯性的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chronology,n. 年表；年代学
traumatic,"adj. （生理）外伤的
adj. （心理）创伤的"
tremendous,adj. 极大的，巨大的；惊人的；极好的
immense,adj. 巨大的，广大的；无边无际的；非常好的
immerse,vt. 沉浸；使陷入
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
afflict,vt. 折磨；使痛苦；使苦恼
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confront,vt. 面对；遭遇；比较
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
genuine,adj. 真实的，真正的；诚恳的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
indigenous,adj. 本土的；土著的；国产的；固有的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
inventive,adj. 发明的；有发明才能的；独出心裁的
inventory,n. 存货，存货清单；详细目录；财产清册
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
cerebral,adj. 大脑的，脑的
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
celebrity,n. 名人；名声
ambience,n. 气氛，布景；周围环境
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambiguous,adj. 模糊不清的；引起歧义的
ambivalent,adj. 矛盾的；好恶相克的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
ridiculous,adj. 可笑的；荒谬的
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnitude,n. 大小；量级； 震级；重要；光度
multitude,n. 群众；多数
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
grapple,"n. 抓住；格斗
vi. 抓住；格斗；抓斗机
vt. 抓住；与…格斗"
graphic,adj. 形象的；图表的；绘画似的
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
impersonate,vt. 扮演；模仿；拟人，人格化
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
arbitrary,adj.  任意的；武断的；专制的
horizon,n.  地平线；视野；眼界；范围
authorize,vt. 批准，认可；授权给；委托代替
authoritative,adj. 有权威的；命令式的；当局的
authentic,adj. 真正的，真实的；可信的
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
bizarre,adj. 奇异的（指态度，容貌，款式等）
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
progeny,n. 子孙；后裔；成果
progenitor,n. 祖先；原著；起源
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
precursor,n. 先驱，前导
prophecy,n. 预言；预言书；预言能力
presage,"n. 预感；前兆
vt. 预感；预言
vi. 预示；预言"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
foresee,vt. 预见；预知
foresaw,v. 预见；预料（foresee的过去式）
foreseen,v. 预见；预知（foresee的过去分词）
forerunner,n. 先驱；先驱者；预兆
forebear,n. 祖先；祖宗
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
overrun,"n. 泛滥成灾；超出限度
vt. 泛滥；超过；蹂躏
vi. 泛滥；蔓延"
overrun,"n. 泛滥成灾；超出限度
vt. 泛滥；超过；蹂躏
vi. 泛滥；蔓延"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overriding,"adj. 高于一切的，最重要的
v. 践踏；压垮；不顾（override的ing形式）"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overthrown,v. 推翻；打倒（overthrow的过去分词）
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
emblem,"n. 象征；徽章；符号
vt. 象征；用符号表示；用纹章装饰"
epitomize,vt. 摘要；概括；成为…的缩影
episode,n. 插曲；一段情节；插话；有趣的事件
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
endemic,"n. 地方病
adj. 地方性的；风土的"
empire,n. 帝国；帝王统治，君权
empirical,adj. 经验主义的，完全根据经验的；实证的
optimistic,adj. 乐观的；乐观主义的
optimal,adj. 最佳的；最理想的
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
victimize,vt. 使受害；使牺牲；欺骗
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
