purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
glider,n.  滑翔机；滑翔员；滑翔导弹
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
chess,n. 国际象棋，西洋棋
volleyball,n. 排球
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
soccer,n. 英式足球，足球
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
badminton,n. 羽毛球
tennis,n. 网球（运动）
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
campus,n. （大学）校园；大学，大学生活；校园内的草地
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
picnic,"n. 野餐
vi. 去野餐"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
hunter,n. 猎人；猎犬；搜寻者
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
footstep,n. 脚步；脚步声；足迹
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hiking,n. 徒步旅行
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
jogger,n. 慢跑者； 撞纸机
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physiology,n. 生理学；生理机能
physics,n. 物理学；物理现象
physiological,adj. 生理学的，生理的
physiology,n. 生理学；生理机能
psychiatry,n. 精神病学；精神病治疗法
psychology,n. 心理学；心理状态
hospital,n. 医院
clinic,n. 临床；诊所
clinical,adj. 临床的；诊所的
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
pharmacist,n. 药剂师
practitioner,n. 开业者，从业者，执业医生
physician,n.  医师；内科医师
surgeon,n. 外科医生
surgery,n. 外科；外科手术；手术室；诊疗室
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
patience,n. 耐性，耐心；忍耐，容忍
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privacy,n. 隐私；秘密；隐居；隐居处
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immunise,vt. 使某人免疫
immunize,vt. 使免疫；赋予免疫性
immunity,n. 免疫力；豁免权；免除
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
endurable,adj. 能忍耐的；可忍受的；能持久的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addiction,n. 上瘾，沉溺；癖嗜
addictive,adj. 使人上瘾的
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
therapy,n. 治疗，疗法
therapist,n. 临床医学家；治疗学家
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
operation,n. 操作；经营； 手术； 运算
operator,n. 经营者；操作员；话务员；行家
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
recovery,n. 恢复，复原；痊愈；重获
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
heal-all,n. 万灵药
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revived,"v. 使复活，使恢复（revive的过去式）
adj. 复活的，再生的"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
X-ray,找不到解释
calcium,n.  钙
carbohydrate,n.  碳水化合物； 糖类
symptom,n.  症状；征兆
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
syndrome,n.  综合症状；并发症状；校验子；并发位
complication,n. 并发症；复杂；复杂化；混乱
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
illness,n. 病；疾病
virus,n.  病毒；恶毒；毒害
chronic,adj. 慢性的；长期的；习惯性的
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
painful,adj. 痛苦的；疼痛的；令人不快的
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
headache,n. 头痛；麻烦；令人头痛之事
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
flu,n. 流感
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
fluent,adj. 流畅的，流利的；液态的；畅流的
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
paralyze,vt. 使麻痹；使瘫痪
paralyzed,"v. 使麻痹；使无力；使失去勇气（paralyze的过去分词）
adj. 瘫痪的；麻痹的"
paralytic,"n. 中风患者；麻痹患者
adj. 麻痹的；瘫痪的；中风的"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
injury,n. 伤害，损害；受伤处
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
bruised,"adj. 青肿的；瘀紫的
v. 擦伤（bruise的过去式）"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
rashly,adv. 轻率地；鲁莽地；无见识地
rashness,n. 轻率；皮肤上短暂出现的疹子
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
cancer, 巨蟹座
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
mortality,n. 死亡数，死亡率；必死性，必死的命运
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fate,"n. 命运
vt. 注定"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
unfortunate,adj. 不幸的；令人遗憾的；不成功的
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
human,"n. 人；人类
adj. 人的；人类的"
mankind,n. 人类；男性
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
muscular,adj. 肌肉的；肌肉发达的；强健的
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skull,n. 头盖骨，脑壳
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
spine,n. 脊柱，脊椎；刺；书脊
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
spineless,adj. 没有骨气的；无脊椎的；懦弱的
organ,n.  器官；机构；风琴；管风琴；嗓音
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
abdomen,n. 腹部；下腹；腹腔
waist,n. 腰，腰部
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
hip hop,"n. 嘻哈音乐（由美国黑人兴起，包括说唱和电子乐器演奏）
 街舞；嘻哈宝典；嘻哈文化"
hip-hop,n. 街舞，即兴音乐；嘻哈
liver,n. 肝脏；生活者，居民
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
kidney,n.  肾脏；腰子；个性
forehead,n. 额，前额
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
brow,n. 眉，眉毛；额；表情
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dentist,"n. 牙科医生
牙医诊所"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
balding,"adj. 变秃的
v. 变秃（bald的ing形式）"
baldness,n. 光秃；率直；枯燥
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
chest,n. 胸，胸部；衣柜；箱子；金库
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
ankle,n. 踝关节，踝
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
kneel,vi. 跪下，跪
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
thigh,n. 大腿，股
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
artery,n. 动脉；干道；主流
arterial,adj.  动脉的；干线的；像动脉的
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
vessel,n. 船，舰； 脉管，血管；容器，器皿
personality,n. 个性；品格；名人
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
trait,n. 特性，特点；品质；少许
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
virtue,n. 美德；优点；贞操；功效
manner,n. 方式；习惯；种类；规矩；风俗
attitude,n. 态度；看法；意见；姿势
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
sensation,n. 感觉；轰动；感动
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
emotion,n. 情感；情绪
emotional,adj. 情绪的；易激动的；感动人的
mood,n. 情绪，语气；心境；气氛
moody,adj. 喜怒无常的；易怒的；郁郁寡欢的
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
tempered,"v. 调和（temper的过去分词）
adj. 缓和的，温和的；调节的；有…气质的"
temperament,n. 气质，性情，性格；急躁
disposition,n. 处置； 性情； 部署；倾向
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
optimistic,adj. 乐观的；乐观主义的
