economic,adj. 经济的，经济上的；经济学的
differentiate,"vt. 区分，区别
vi. 区分，区别"
discreet,adj. 谨慎的；小心的
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
drainage,n. 排水；排水系统；污水；排水面积
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
dreadful,adj. 可怕的；糟透的，令人不快的
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
Easter,n. 复活节
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
feminist,"n. 女权主义者
adj. 主张女权的"
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
glacier,n. 冰河，冰川
greed,n. 贪婪，贪心
harass,vt. 使困扰；使烦恼；反复袭击
humane,adj. 仁慈的，人道的；高尚的
humiliate,vt. 羞辱；使…丢脸；耻辱
edible,"n. 食品；食物
adj. 可食用的"
endurance,n. 忍耐力；忍耐；持久；耐久
equator,n. 赤道
erosion,n. 侵蚀，腐蚀
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
expend,vt. 花费；消耗；用光；耗尽
exposition,n. 博览会；阐述；展览会
fabric,n. 织物；布；组织；构造；建筑物
fellowship,n. 团体；友谊；奖学金；研究员职位
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
flatter,vt. 奉承；谄媚；使高兴
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
fragrance,n. 香味，芬芳
frantic,adj. 狂乱的，疯狂的
fury,n. 狂怒；暴怒；激怒者
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
gigantic,adj. 巨大的，庞大的
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
gland,"n. 腺
密封压盖"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
gloom,n. 昏暗；阴暗
graphic,adj. 形象的；图表的；绘画似的
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
grim,adj. 冷酷的；糟糕的；残忍的
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
heir,n.  继承人；后嗣；嗣子
henceforth,adv. 今后；自此以后
herb,n. 香草，药草
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hitherto,adv. 迄今；至今
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
hostage,n. 人质；抵押品
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
hysterical,adj. 歇斯底里的；异常兴奋的
ideology,n. 意识形态；思想意识；观念学
idiom,n. 成语，习语；土话
idiot,n. 笨蛋，傻瓜；白痴
inertia,n.  惯性；惰性，迟钝；不活动
innumerable,adj. 无数的，数不清的
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
intercourse,n. 性交；交往；交流
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
irrespective,adj. 无关的；不考虑的；不顾的
irrigation,n. 灌溉； 冲洗；冲洗法
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
latent,adj. 潜在的；潜伏的；隐藏的
layman,n. 外行；门外汉；俗人；一般信徒
legend,n. 传奇；说明；图例；刻印文字
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
lieutenant,n. 中尉；副官；助理人员
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
imminent,adj. 即将来临的；迫近的
imprison,vt. 监禁；关押；使…下狱
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
metabolism,n.  新陈代谢
milestone,n. 里程碑，划时代的事件
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
liner,n. 班轮，班机；衬垫；画线者
locality,n. 所在；位置；地点
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lofty,adj. 高的；崇高的；高级的；高傲的
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
magistrate,n. 地方法官；文职官员；治安推事
magnet,n. 磁铁； 磁体；磁石
majesty,n. 威严；最高权威，王权；雄伟；权威
mansion,n. 大厦；宅邸
manuscript,"n.  手稿；原稿
adj. 手写的"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
masterpiece,n. 杰作；绝无仅有的人
meadow,n. 草地；牧场
melody,n. 旋律；歌曲；美妙的音乐
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
mercury,n. 水星
messenger,n. 报信者，送信者；先驱
metallic,adj. 金属的，含金属的
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
missionary,"adj. 传教的；传教士的
n. 传教士"
mistress,n. 情妇；女主人；主妇；女教师；女能人
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
module,n.  模块；组件；模数
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
municipal,adj. 市政的，市的；地方自治的
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
nil,n. 无，零
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
oath,n. 誓言，誓约；诅咒，咒骂
obscene,adj. 淫秽的；猥亵的；可憎的
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
ore,n. 矿；矿石
oriental,"adj. 东方的；东方人的
n. 东方人"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
overt,adj. 明显的；公然的；蓄意的
oxide,n.  氧化物
pact,n. 协定；公约；条约；契约
pamphlet,n. 小册子
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
parasite,n. 寄生虫；食客
pastry,n. 油酥点心；面粉糕饼
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
patron,n. 赞助人；保护人；主顾
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
peel,"n. 皮
v. 剥，剥落；削"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
penguin,n. 企鹅；空军地勤人员
peninsula,n. 半岛
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
permissible,adj. 可允许的；获得准许的
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
mindset,n. 心态；倾向；习惯；精神状态
monotony,n. 单调；千篇一律
negligent,adj. 疏忽的；粗心大意的
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
panorama,n. 全景，全貌；全景画；概论
paradigm,n. 范例；词形变化表
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
prerequisite,"n. 先决条件
adj. 首要必备的"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
pope,n. 教皇，罗马教皇；权威，大师
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
practicable,adj. 可用的；行得通的；可实行的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
premier,"n. 总理，首相
adj. 第一的；最初的"
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
propaganda,n. 宣传；传道总会
prophet,n. 先知；预言者；提倡者
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
psychiatrist,n. 精神病学家，精神病医生
pudding,n. 布丁
pumpkin,n. 南瓜
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
qualitative,adj. 定性的；质的，性质上的
quart,n. 夸脱（容量单位）；一夸脱的容器
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
quartz,n. 石英
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
recede,"vi. 后退；减弱
vt. 撤回"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
reconciliation,n. 和解；调和；和谐；甘愿
rectangular,adj. 矩形的；成直角的
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
rehearsal,n. 排演；预演；练习；训练；叙述
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
remnant,"n. 剩余
adj. 剩余的"
renaissance,n. 文艺复兴（欧洲14至17世纪）
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
repression,n. 抑制， 压抑；镇压
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
rivalry,n. 竞争；对抗；竞赛
robust,adj. 强健的；健康的；粗野的；粗鲁的
