bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
quintet,n. 五重奏，五重唱；男子篮球队； 五位字节
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
quirk,n. 怪癖；急转；借口
quitter,n. 轻易放弃的人；懒人
quixotic,adj. 唐吉诃德式的；狂想家的；愚侠的
quotient,n.  商；系数；份额
rabbi,n. 拉比（犹太人的学者）；法师；犹太教律法专家；先生
racer,n. 比赛者；比赛用的汽车
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
racketeer,"n. 骗子；敲诈者
vt. 对…进行勒索
vi. 敲诈"
raffle,"n. 废物；抽彩售货
vt. 抽彩售货
vi. 抽彩"
raiser,n. 饲养者；提高者；栽培者；筹集者
RAM,找不到解释
rambler,n. 漫步者，漫谈者；攀缘蔷薇
ramification,n. 衍生物；分枝，分叉；支流
rampart,"n. 壁垒；垒；防御土墙
vt. 用壁垒围绕；防卫"
rancid,adj. 腐臭的；令人作呕的，讨厌的
rancor,n. 深仇；怨恨；敌意
rancour,n. 深仇；敌意
randy,"n. 莽汉；粗鲁悍妇
adj. 好色的；喧闹的；粗俗的"
ranger,n. 突击队员；漫游者；骑警；别动队员
rapist,n. 强奸犯
rapport,n. 密切关系，交往；和谐一致
rapprochement,n. 友好；恢复邦交；友善关系的建立
rarity,n. 罕见；珍贵；珍品（需用复数）；稀薄
rasp,"n.  粗锉刀；锉磨声；刺耳声
vt. 用粗锉刀锉；粗声粗气地说
vi. 锉磨；用粗嘎的嗓门说"
rateable,adj. 可评价的，按比例的
ravine,n. 沟壑，山涧；峡谷
reaffirm,vt. 再肯定，重申；再断言
rear-admiral,找不到解释
rearguard,"n. 后卫
adj. 无望取胜的；殿后抵挡的"
rearmament,n.  重整军备；改良装备
reassure,vt. 使…安心，使消除疑虑
rebate,"n. 折扣
vt. 减少；打折扣
vi. 退还部分付款，打折扣"
recapture,"vt. 夺回；拿回；再体验；政府征收再经历
n. 夺回；取回；政府对公司超额收益或利润的征收"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reconciliation,n. 和解；调和；和谐；甘愿
rectitude,n. 公正；诚实；清廉
rector,n. 校长；院长；教区牧师
redbrick,"n. 新大学；十九世纪在伦敦之外成立的大学
adj. 新大学的"
reductio ad absurdum,n. <拉>归谬法，间接证明法，反证法（说明某一命题的反面为不可能或荒谬，以证明该命题为正确）
reedy,adj. 芦苇丛生的；芦苇做的；芦苇状的；似笛声的
re-examine,vt. 再检验
referendum,n. 公民投票权；外交官请示书
regal,adj. 帝王的；王室的；豪华的；庄严的
regarding,prep. 关于，至于
regatta,n. 赛舟会；平底船比赛
regeneration,n.  再生，重生；重建
regent,"n. 摄政王；摄政者；州立大学董事会董事；统治者
adj. 摄政的；统治的"
registrar,n. 登记员；注册主任；专科住院医师
registry,n. 注册；登记处；挂号处；船舶的国籍
reinstate,vt. 使恢复；使复原
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
remedial,adj. 治疗的；补救的；矫正的
remembrance,n. 回想，回忆；纪念品；记忆力
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
remnant,"n. 剩余
adj. 剩余的"
rendezvous,"n. 约会；约会地点；集结地
vi. 会合；约会
vt. 在指定地点与…相会"
rendition,n. 译文；演奏；提供；引渡逃奴
renegade,"n. 叛徒；变节者；脱党者
vi. 背叛；脱离
adj. 叛徒的；背弃的；脱离的"
renown,"n. 声誉；名望
vt. 使有声望"
renunciation,n. 放弃；脱离关系；拒绝承认；抛弃；弃权
repercussion,n. 反响；弹回；反射；浮动诊胎法；令人不满意的后果
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
repository,n. 贮藏室，仓库；知识库；智囊团
reprisal,n. 报复（行为）；报复性劫掠
repugnant,adj. 讨厌的；矛盾的；敌对的
requiem,n. 安魂曲；追思弥撒
reservist,n. 在乡军人；后备军人
reshape,vt. 改造；再成形
resilience,n. 恢复力；弹力；顺应力
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
resinous,adj. 树脂的；树脂质的
resounding,"adj. 响亮的；轰动的；彻底的
v. 回响（resound的ing形式）"
respectability,n. 体面；可尊敬；有社会地位
resplendent,adj. 光辉的；华丽的
restful,adj. 宁静的；安静的；给人休息的
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
resurgent,"n. 复活者
adj. 复活的；复苏的"
resuscitation,n. 复苏；复兴；复活
retainer,n. 保持器；家臣；保持者； 护圈；预付费用
retention,n. 保留；扣留，滞留；记忆力；闭尿
reticent,adj. 沉默的；有保留的；谨慎的
retribution,n. 报应；惩罚；报答；报偿
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
reverie,n. 幻想；沉思；幻想曲
revulsion,n. 剧变；厌恶；强烈反感；抽回
rhinoceros,n.  犀牛
ribald,"n. 言谈粗俗的人；说下流话的人
adj. 下流的；言谈粗俗的"
rickets,n.  佝偻病
rickety,adj. 摇晃的；虚弱的；患佝偻病的
rickshaw,n. （等于ricksha）人力车；黄包车
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
righteous,adj. 正义的；正直的；公正的
rigorous,adj. 严格的，严厉的；严密的；严酷的
rind,"n. 壳；外皮
vt. 剥壳；削皮"
rink,"n. 溜冰场，室内溜冰场；冰球场
vi. 溜冰"
rip-roaring,adj. 吵闹的；喧嚣的
roach,n. （美）蟑螂； 斜齿鳊
rocker,n. 摇杆；摇的人；镰刀弯；套钩；摇轴
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
rodeo,"n. 竞技表演；竞技者
vi. 竞技"
roger,"n. 罗杰（男子名）
int. 好；知道了"
rolling-stock,n. 全部车辆
rookie,"n. 新手
新人"
rosette,n. 莲座丛；玫瑰形饰物； 圆花饰
rostrum,n. 讲坛；演讲者；嘴；喙
rota,n. 值班名册；轮值表
rotor,n.  转子；水平旋翼；旋转体
rouge,"n. 胭脂；口红；铁丹，红铁粉
vt. 擦口红；在…上搽胭脂
vi. 搽胭脂；涂口红
adj. 红的纹章局四属官之一"
roughen,"vt. 使粗糙
vi. 变粗糙"
roulette,"n. 轮盘赌；刻骑缝孔的点线机；（邮票的）骑缝孔；旋轮线
vt. 给…滚压骑线孔"
rounders,n. 一种类似棒球的儿童游戏
roundup,n. 综述；集拢；围捕；摘要
rowdy,"n. 粗暴的人；好吵闹的人
adj. 吵闹的；粗暴的"
royalist,"n. 保皇主义者；保皇党人
adj. 保皇主义的；保皇党人的"
rubble,n. 碎石，碎砖；粗石堆
rubdown,n. 按摩，摩擦身体；磨平
rucksack,n. 帆布背包
ruckus,n. 骚动；喧闹
ruddy,"adj. 红的；红润的
vt. 使变红
adv. 极度；非常
vi. 变红"
ruffian,"n. 恶棍；流氓；无赖
adj. 残暴的；凶恶的；无法无天的"
rugger,n. 英式橄榄球
ruinous,adj. 破坏性的，毁灭性的；零落的
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
rum,"n. 朗姆酒
adj. 古怪的；奇特的"
russet,"n. 赤褐色，黄褐色；冬季粗皮苹果（黄色苹果之一种）
adj. 黄褐色的，赤褐色的"
Sabbath,n. 安息日
sabre,"n. 军刀；马刀；击剑或决斗用的长剑
vt. 用马刀砍（等于saber）"
sacrament,"n. 圣礼；圣餐；神秘的事物
vt. 立誓"
sacrilegious,adj. 该受天谴的，亵渎神明的
sadism,n. 虐待狂；性虐待狂；病态的残忍
safari,n. 旅行；狩猎远征；旅行队
saffron,"n. 藏红花；橙黄色
adj. 藏红花色的，橘黄色的"
saga,n. 传说；冒险故事；英雄事迹
sagacious,adj. 睿智的，聪慧的；有远见的，聪慧的
sagacity,n. 睿智；聪敏；有远见
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
sailcloth,"n. 帆布
篷布"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
salivary,adj. 唾液的；分泌唾液的
salivate,"vt. 使流涎；使过量分泌唾液
vi. 分泌唾液；流口水"
sallow,"n. 黄华柳；黄华柳细枝
adj. 气色不好的；灰黄色的
vt. 成土色
vi. 使……变成土色"
salvo,"n. 齐射；齐鸣；齐声欢呼喝彩；保留条款；遁辞
vt. 齐鸣
vi. 齐鸣"
samba,"n. 桑巴舞（巴西交谊舞）
vi. 跳桑巴舞"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sanctum,n. 圣所；密室；私室
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
sardonic,adj. 讽刺的；嘲笑的，冷笑的
sarong,n. 围裙；马来群岛土人所穿的围裙
sartorial,adj. 裁缝的；缝纫的；裁缝匠的
sash,"n. 腰带；肩带；饰带；框格
vt. 系上腰带；装以窗框"
satanic,找不到解释
satyr,n. 好色之徒；萨梯（希腊神话中森林之神）；眼蝶科
savagery,n. 野性；野蛮人；原始状态
savant,n. 学者；专家
saxophone,n. 萨克斯管
scab,"n. 痂；疤；疥癣；恶棍
vi. 结痂；生疙瘩；破坏罢工
vt. 把…称为工贼"
scaffold,"n. 脚手架；鹰架；绞刑台
vt. 给…搭脚手架；用支架支撑"
scallop,"n. 扇贝，干贝
vt. 使成扇形
vi. 拾扇贝"
scalpel,n. 解剖刀；外科手术刀
scaremonger,n. 散布谣言的人
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
scathing,"adj. 严厉的；损伤的
v. 损伤；伤害（scathe的ing形式）"
scatterbrain,n. 注意力不集中的人
scenario,n. 方案；情节；剧本；设想
schizophrenia,n.  精神分裂症
scholarly,adj. 博学的；学者风度的；学者派头的
scholastic,"adj. 学校的；学者的；学术的（等于scholastical）
n. 学者；学生；墨守成规者；经院哲学家"
scintillation,n. 闪烁；发出火花；才华横溢
scoring,"n. 得分；刻痕；总谱
adj. 得分的
v. 得分（score的ing形式）；刻痕；记下"
scrawny,adj. 骨瘦如柴的
screech,"n. 尖叫声，尖利刺耳的声音；尖声喊叫
vt. 尖着声音讲或喊
vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声"
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
scripture,n. （大写）圣经；手稿；（大写）圣经的一句
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
scrum,"n. 扭打，混乱；并列争球
vt. 抛（球）开始并列争球
vi. 参加并列争球"
scruple,"n. 微量；顾虑；踌躇
vi. 有顾忌；踌躇
vt. 对…有顾虑"
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
scuba,n. 水肺；水中呼吸器
scum,"n. 浮渣；泡沫；糟粕
vi. 产生泡沫；被浮渣覆盖
vt. 将浮渣去除掉"
scurf,n. 头皮屑
scurry,"vi. 急赶；急跑
n. 急跑；短距离赛跑（或赛马）
vt. 急赶"
secession,n. 脱离；分离
sectarian,"n. 属于宗派的人；宗派心强的人；宗派主义者
adj. 宗派的；偏狭的；党派心强的"
sedan,n. 轿车；轿子
sedative,"n.  镇静剂；能使安静的东西；止痛药
adj. 使镇静的；使安静的"
selenium,n.  硒
self-annihilation,"自我消失(与神合为一体)
自毁，自杀"
self-effacing,adj. 谦让的；谦逊的；不出风头的
self-fulfilling,adj. 实现自己抱负的，自我实现的
self-made,adj. 自制的；自力更生的；自造的
self-opinionated,adj. 固执己见的；自负的
self-possessed,adj. 镇静的；冷静的；有自制力的
self-preservation,n. 自卫本能，自我保护；自我保存
self-restraint,n. 自制
self-styled,adj. 自称的，自封的
self-willed,adj. 任性的；顽固的
semantic,adj. 语义的；语义学的（等于semantical）
semantics,n.  语义学；语义论
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
senatorial,adj. 参议院的；参议员的
sensor,n. 传感器
sensory,adj. 感觉的；知觉的；传递感觉的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sensuous,adj. 感觉上的，依感观的；诉诸美感的
sentinel,"n. 哨兵
vt. 守卫，放哨"
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
sepulchre,"n. 坟墓；圣体安置所（等于Easter sepulchre）
vt. 埋葬；以…为坟墓"
sequel,n. 续集；结局；继续；后果
serenade,"n. 小夜曲
vt. 为…唱小夜曲
vi. 唱小夜曲"
serf,n. 农奴；奴隶；被压迫者
serrated,"adj.  锯齿状的，有锯齿的
v. 使有锯齿（serrate的过去分词）"
serum,n. 血清；浆液；免疫血清；乳清；树液
servitude,n. 劳役，奴役；地役权；奴隶状态
set-piece,"n. 定位进攻
a. 事先精心安排的"
sexism,n. （针对女性的）性别歧视；男性至上主义
sexist,"n. 性别歧视者；男性至上主义者
adj. 性别主义者的；性别歧视者的"
shack,"n. 棚屋；小室
vi. 居住"
shag,"n. 粗毛；粗烟丝；蓬乱一团
adj. 有粗毛的；蓬乱的
vt. 使杂乱；使蓬松
vi. 蓬松"
shaggy,adj. 蓬松的；表面粗糙的；毛发粗浓杂乱的
sham,"n. 假装；骗子；赝品
adj. 假的；虚假的；假装的
vt. 假装；冒充
vi. 假装；佯装"
shapely,adj. 定形的；形状美观的；样子好的；有条理的
sheaf,"n. 捆；束；扎
vt. 捆；束；扎"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
sheen,"n. 光辉，光泽，光彩
adj. 光辉的；有光泽的；华丽的
vi. 闪耀；发光"
sheepish,adj. 羞怯的；懦弱的
sheik,n. 酋长，族长（阿拉伯人的）
sheikh,n. 族长；阿拉伯酋长（等于sheik）
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
shin,"n. 胫骨
vt. 爬；攀
vi. 攀；快步走"
shoal,"n. 浅滩，沙洲；鱼群；潜在危险
vi. 变浅
vt. 使变浅；驶入
adj. 浅的"
shoddy,"n. 赝品；冒牌货；假装粗俗
adj. 假冒的；劣质的；卑劣的"
short-change,vt. 故意少给顾客找钱
shortfall,n. 差额；缺少
showpiece,n. 展出品，展示品
showy,adj. 艳丽的；炫耀的；显眼的
shrew,n. 泼妇，悍妇
shrinkage,n. 收缩；减低
shrubbery,n. 灌木； 灌木林
shrubby,adj. 灌木的；灌木繁茂的；灌木一般的
sibling,n. 兄弟姊妹；民族成员
sic,adv. （拉）原文如此（通常放在括号内）
sickbay,n. 船上的医务室
sickening,adj. 令人厌恶的；患病的
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
sierra,n.  锯齿山脊；呈齿状起伏的山脉
sighting,"n. 瞄准；照准；视线
v. 看见（sight的ing形式）"
signet,"n. 印；图章
vt. 盖章于"
silage,"n. 青贮饲料
vt. 青贮；把...放入青贮窖"
silhouette,"n. 轮廓，剪影
vt. 使…照出影子来；使…仅仅显出轮廓"
silica,n. 二氧化硅； 硅土
silo,"n. 筒仓；青贮窖；飞弹发射井
vt. 把…存入青贮窖；把…储存在筒仓内"
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
simpleton,n. 傻子；笨蛋
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
sinuous,adj. 蜿蜒的；弯曲的；迂回的
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
siphon,"n. 虹吸管
vt. 用虹吸管吸出；抽取
vi. 通过虹吸管"
sirloin,n. 牛的上部腰肉；牛里脊肉
sizeable,adj. 大的，相当大的
sizzle,"n. 嘶嘶声
vt. 把…烧得发嘶嘶声
vi. 发嘶嘶声"
skimmer,n. 漏杓；燕鸥类；大略阅读的人；撇去浮沫的器具
skin-diving,"n. 赤身潜水
v. 裸潜（skin-dive的ing形式）"
skipper,"n. 队长；船长；机长
vt. 带领；作…的船长（或机长）"
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
slag,"n. 炉渣；矿渣；熔渣
vt. 使成渣；使变成熔渣
vi. 变熔渣"
slanderous,adj. 诽谤的；诽谤性的；中伤的
slangy,adj. 俚语的；俗话多的；好用俚语的
slat,"n. 板条；狭板
vt. 用板条做或装备；用条板制造"
sleeper,n. 卧车；卧铺；枕木；睡眠者
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
slime,"n. 黏液；烂泥
vt. 涂泥
vi. 变粘滑"
slimnastics,n. 减重体操，减肥操
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
sliver,"n. 梳毛，梳棉；裂片
vt. 使成薄片；使裂成小片
vi. 成为薄片；裂成小片"
slouch,"n. 下垂；笨拙的人，懒散的人；懒散的样子
vt. 使下垂
vi. 没精打采地站；耷拉"
slurry,n. 泥浆；悬浮液
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
snare,"n. 陷阱；圈套； 勒除器
vt. 捕捉；诱惑"
