compatible,adj. 兼容的；能共处的；可并立的
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
appetite,n. 食欲；嗜好
courtyard,n. 庭院，院子；天井
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
enterprise,n. 企业；事业；进取心；事业心
garlic,n. 大蒜；蒜头
fate,"n. 命运
vt. 注定"
denial,n. 否认；拒绝；节制；背弃
violate,vt. 违反；侵犯，妨碍；亵渎
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
strife,n. 冲突；争吵；不和
mode,n. 模式；方式；风格；时尚
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
obligation,n. 义务；职责；债务
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
detector,n. 探测器；检测器；发现者；侦察器
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
laughter,n. 笑；笑声
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
ounce,n. 盎司；少量；雪豹
volcano,n. 火山
relationship,n. 关系；关联
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
string,n. 线，弦，细绳；一串，一行
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
fee,"n. 费用；酬金；小费
vt. 付费给……"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
patron,n. 赞助人；保护人；主顾
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
acquaint,vt. 使熟悉；使认识
worthwhile,adj. 值得做的，值得花时间的
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
majesty,n. 威严；最高权威，王权；雄伟；权威
global,adj. 全球的；总体的；球形的
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
sake,n. 目的；利益；理由；日本米酒
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
obstruction,n. 障碍；阻碍；妨碍
fragile,adj. 脆的；易碎的
cautious,adj. 谨慎的；十分小心的
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
agony,n. 苦恼；极大的痛苦；临死的挣扎
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
instability,n. 不稳定（性）；基础薄弱；不安定
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
embassy,n. 大使馆；大使馆全体人员
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
marital,adj. 婚姻的；夫妇间的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
gravity,n. 重力，地心引力；严重性；庄严
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
equation,n. 方程式，等式；相等； 反应式
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
occupation,n. 职业；占有；消遣；占有期
oath,n. 誓言，誓约；诅咒，咒骂
repression,n. 抑制， 压抑；镇压
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
basis,n. 基础；底部；主要成分；基本原则或原理
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
retain,vt. 保持；雇；记住
henceforth,adv. 今后；自此以后
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
harassment,n. 骚扰；烦恼
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
versatile,adj. 多才多艺的；通用的，万能的；多面手的
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
cancer, 巨蟹座
consecutive,adj. 连贯的；连续不断的
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
confirm,vt. 确认；确定；证实；批准；使巩固
carrier,n.  载体；运送者；带菌者；货架
superb,adj. 极好的；华丽的；宏伟的
enhance,vt. 提高；加强；增加
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
obedient,adj. 顺从的，服从的；孝顺的
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
consultant,n. 顾问；咨询者；会诊医生
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
intelligent,adj. 智能的；聪明的；理解力强的
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
respective,adj. 分别的，各自的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
vinegar,n. 醋
peanut,n. 花生
biology,n. （一个地区全部的）生物；生物学
satisfactory,adj. 满意的；符合要求的；赎罪的
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
melody,n. 旋律；歌曲；美妙的音乐
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
climate,n. 气候；风气；思潮；风土
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
visual,adj. 视觉的，视力的；栩栩如生的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
attribute,"n. 属性；特质
vt. 归属；把…归于"
occurrence,n. 发生；出现；事件；发现
laptop,n. 膝上型轻便电脑，笔记本电脑
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
available,adj. 可获得的；可购得的；可找到的；有空的
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
data,n. 数据（datum的复数）；资料
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
underestimate,"n. 低估
vt. 低估；看轻"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
tremendous,adj. 极大的，巨大的；惊人的；极好的
deprive,vt. 使丧失，剥夺
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
preparation,n. 预备；准备
affirm,"vt. 肯定；断言
vi. 确认；断言"
petrol,n. （英）汽油
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
specimen,n. 样品，样本；标本
audience,n. 观众；听众；读者；接见；正式会见；拜会
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
constitute,vt. 组成，构成；建立；任命
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
headquarters,n. 总部；指挥部；司令部
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
congress,n. 国会；代表大会；会议；社交
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
salad,n. 色拉；尤指莴苣
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
tomb,"n. 坟墓；死亡
vt. 埋葬"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
topic,n. 主题（等于theme）；题目；一般规则；总论
growth,n. 增长；发展；生长；种植
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
describe,vt. 描述，形容；描绘
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
advisable,adj. 明智的，可取的，适当的
fibre,n. 纤维；纤维制品
fiber,n. 纤维；光纤（等于fibre）
dedicate,vt. 致力；献身；题献
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
rectify,vt. 改正；精馏；整流
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
presumably,adv. 大概；推测起来；可假定
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
region,n. 地区；范围；部位
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
deserve,"vi. 应受，应得
vt. 应受，应得"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
plural,"n. 复数
adj. 复数的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
quantitative,adj. 定量的；量的，数量的
erroneous,adj. 错误的；不正确的
privilege,"n. 特权；优待
vt. 给与…特权；特免"
astronomy,n. 天文学
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
gene,n.  基因，遗传因子
deficit,n. 赤字；不足额
obstacle,n. 障碍，干扰；妨害物
coarse,adj. 粗糙的；粗俗的；下等的
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
communication,n. 通讯， 通信；交流；信函
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
warehouse,n. 仓库；货栈；大商店
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
misfortune,n. 不幸；灾祸，灾难
landlord,n. 房东，老板；地主
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
humid,adj. 潮湿的；湿润的；多湿气的
kindergarten,n. 幼儿园；幼稚园
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
theory,n. 理论；原理；学说；推测
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
detach,vt. 分离；派遣；使超然
administration,n. 管理；行政；实施；行政机构
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
phenomenon,n. 现象；奇迹；杰出的人才
shortage,n. 缺乏，缺少；不足
