appoint,"vt. 任命；指定；约定
vi. 任命；委派"
ambulance,n.  救护车；战时流动医院
ample,adj. 丰富的；足够的；宽敞的
amusement,n. 消遣，娱乐；乐趣
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
ancestor,n. 始祖，祖先；被继承人
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
anew,adv. 重新；再
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ankle,n. 踝关节，踝
ant,n. 蚂蚁
anyhow,adv. 总之；无论如何；不管怎样
anyway,adv. 无论如何，不管怎样；总之
apartment,n. 公寓；房间
apology,n. 道歉；谢罪；辩护；勉强的替代物
app,
apparatus,n. 装置，设备；仪器；器官
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
approval,n. 批准；认可；赞成
approximately,adv. 大约，近似地；近于
aptitude,n. 天资；自然倾向；适宜
architecture,n. 建筑学；建筑风格；建筑式样；架构
arithmetic,n. 算术，算法
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
artistic,adj. 艺术的；风雅的；有美感的
ash,n. 灰；灰烬
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
aspect,n. 方面；方向；形势；外貌
aspiration,n. 渴望；抱负；送气；吸气；吸引术
ass,n. 屁股；驴子；蠢人
astonish,vt. 使惊讶
atmosphere,n. 气氛；大气；空气
atom,n. 原子
atomic,adj. 原子的，原子能的；微粒子的
atop,"prep. 在…的顶上
adv. 在顶上"
attendance,n. 出席；到场；出席人数；考勤
attic,n. 阁楼；顶楼；鼓室上的隐窝
attorney,n. 律师；代理人；检查官
auction,"n. 拍卖
vt. 拍卖；竞卖"
audience,n. 观众；听众；读者；接见；正式会见；拜会
audio,adj. 声音的； 音频的， 声频的
auditorium,n. 礼堂，会堂；观众席
authentic,adj. 真正的，真实的；可信的
author,"n. 作者；作家；创始人
vt. 创作出版"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
aviation,n. 航空；飞行术；飞机制造业
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
awful,adj. 可怕的；极坏的；使人敬畏的
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
axe,"n. 斧
vt. 削减；用斧砍"
axis,n. 轴；轴线；轴心国
babyboom,n. 生育高峰期
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
bacon,n. 咸肉；腌肉；熏猪肉
bacteria,n.  细菌
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
baggage,n. 行李； 辎重（军队的）
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
bakery,n. 面包店
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bandage,"n. 绷带
vt. 用绷带包扎"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
baseball,n. 棒球；棒球运动
basement,n. 地下室；地窖
basically,adv. 主要地，基本上
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
battalion,n. 营，军营；军队，部队
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
beast,n. 野兽；畜生，人面兽心的人
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
best-seller,n. 畅销书；畅销唱片
beverage,n. 饮料
bible,n. 有权威的书
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
biology,n. （一个地区全部的）生物；生物学
bitch,"n. 母狗，母狼；泼妇；牢骚事
vt. 糟蹋；弄糟
vi. 发牢骚"
blade,n. 叶片；刀片，刀锋；剑
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
booklet,n. 小册子
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
brand-new,adj. 崭新的；最近获得的
brandy,n. 白兰地酒
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breadth,n. 宽度，幅度；宽宏
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakthrough,n. 突破；突破性进展
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
bride,n. 新娘；姑娘，女朋友
briefcase,n. 公文包
brochure,n. 手册，小册子
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
brow,n. 眉，眉毛；额；表情
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
brunch,n. 早午餐
brutal,adj. 残忍的；野蛮的，不讲理的
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bulletin,"n. 公告，公报
vt. 公布，公告"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
bureau,n. 局，处；衣柜；办公桌
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
bystander,n. 旁观者；看热闹的人
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
calorie,n. 卡路里（热量单位）
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
cancer, 巨蟹座
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
cargo,n. 货物，船货
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carriage,n. 运输；运费；四轮马车；举止；客车厢
carrier,n.  载体；运送者；带菌者；货架
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
Celsius,
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centimeter,n.  厘米； 公分
centimetre,n. 厘米；公分
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certainty,n. 必然；确实；确实的事情
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chess,n. 国际象棋，西洋棋
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
china,
cholesterol,n.  胆固醇
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
Christ,"n. 基督；救世主
int. 天啊！"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Christmas,n. 圣诞节；圣诞节期间
cigar,n. 雪茄
circus,n. 马戏；马戏团
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
clear-cut,adj. 清晰的；轮廓鲜明的
climax,n. 高潮；顶点；层进法；极点
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
clothe,vt. 给…穿衣；覆盖；赋予
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesion,n. 凝聚；结合； 内聚力
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
colleague,n. 同事，同僚
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
colony,n. 殖民地；移民队；种群；动物栖息地
column,n. 纵队，列；专栏；圆柱，柱形物
combination,n. 结合；组合；联合； 化合
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
comma,n. 逗号；停顿
commander,n. 指挥官；司令官
commence,v. 开始；着手；<英>获得学位
committee,n. 委员会
commune,"n. 公社
vi. 谈心，亲密交谈；密切联系"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
compatible,adj. 兼容的；能共处的；可并立的
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
complicate,vt. 使复杂化；使恶化；使卷入
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
conjunction,n. 结合； 连接词；同时发生
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
