abnormal,adj. 反常的，不规则的；变态的
option,n.  选项；选择权；买卖的特权
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
optical,adj. 光学的；眼睛的，视觉的
optimal,adj. 最佳的；最理想的
optimistic,adj. 乐观的；乐观主义的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
optimism,n. 乐观；乐观主义
orchestra,n. 管弦乐队；乐队演奏处
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
rehearsal,n. 排演；预演；练习；训练；叙述
tempo,n. 速度，发展速度；拍子
chord,n. 弦；和弦；香水的基调
melody,n. 旋律；歌曲；美妙的音乐
rhythm,n. 节奏；韵律
album,n. 相簿；唱片集；集邮簿；签名纪念册
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
origin,n. 起源；原点；出身；开端
originate,"vt. 引起；创作
vi. 发源；发生；起航"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
nonetheless,adv. 尽管如此，但是
ordinarily,adv. 通常地；一般地
presumably,adv. 大概；推测起来；可假定
whereas,conj. 然而；鉴于；反之
whilst,conj. 同时；时时，有时；当…的时候
outcome,n. 结果，结局；成果
consequence,n. 结果；重要性；推论
aftermath,n. 后果；余波
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
eruption,n. 爆发，喷发；火山灰；出疹
emerge,vi. 浮现；摆脱；暴露
recur,vi. 复发；重现；采用；再来；循环；递归
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
outset,n. 开始；开端
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
overstate,vt. 夸张；夸大的叙述
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
parachute,"n. 降落伞
vi. 跳伞
空投"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
parish,"n. 教区
地方行政区"
paradise,"n. 天堂
至福境地"
cathedral,n. 大教堂
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
particle,n. 颗粒； 质点；极小量；小品词
counterpart,n. 副本；配对物；极相似的人或物
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
partial,adj. 局部的；偏爱的；不公平的
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
passer-by,n. 过路人；经过的人
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
compassion,n. 同情；怜悯
apathy,n. 冷漠，无兴趣，漠不关心；无感情
sympathy,n. 同情；慰问；赞同
patriot,n. 爱国者
patriotic,adj. 爱国的
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
peel,"n. 皮
v. 剥，剥落；削"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
expenditure,n. 支出，花费；经费，消费额
expend,vt. 花费；消耗；用光；耗尽
perception,n. 知觉； 感觉；看法；洞察力；获取
penetration,n. 渗透；突破；侵入；洞察力
insight,n. 洞察力；洞悉
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
periodic,adj. 周期的；定期的
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
fortnight,n. 两星期
anniversary,n. 周年纪念日
annually,adv. 每年；一年一次
epoch,n.  世；新纪元；新时代；时间上的一点
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
insist,"vi. 坚持，强调
vt. 坚持，强调"
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
persistently,adv. 坚持地；固执地
subsistence,n. 生活；生存；存在
perspective,"n. 观点；远景；透视图
adj. 透视的"
standpoint,n. 立场；观点
notion,n. 概念；见解；打算
persuasion,n. 说服；说服力；信念；派别
recommendation,n. 推荐；建议；推荐信
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
sake,n. 目的；利益；理由；日本米酒
pesticide,n. 杀虫剂
fertilizer,n.  肥料；受精媒介物；促进发展者
irrigation,n. 灌溉； 冲洗；冲洗法
warehouse,n. 仓库；货栈；大商店
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physicist,n. 物理学家；唯物论者
physician,n.  医师；内科医师
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
explicit,adj. 明确的；清楚的；直率的；详述的
distinct,adj. 明显的；独特的；清楚的；有区别的
overt,adj. 明显的；公然的；蓄意的
distinctive,adj. 有特色的，与众不同的
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
pottery,n. 陶器；陶器厂；陶器制造术
plea,n. 恳求，请求；辩解，辩护；借口，托辞
justification,n. 理由；辩护；认为有理，认为正当；释罪
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
pretext,"n. 借口；托辞
vt. 以…为借口"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
attitude,n. 态度；看法；意见；姿势
mindset,n. 心态；倾向；习惯；精神状态
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
brood,"n. 一窝；一伙
vt. 孵；沉思"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
prospective,"n. 预期；展望
adj. 未来的；预期的"
feasible,adj. 可行的；可能的；可实行的
poverty,n. 贫困；困难；缺少；低劣
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
famine,n. 饥荒；饥饿，奇缺
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
preoccupy,vt. 迷住；使全神贯注
prerequisite,"n. 先决条件
adj. 首要必备的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
precise,adj. 精确的；明确的；严格的
accurate,adj. 精确的
confident,adj. 自信的；确信的
certainty,n. 必然；确实；确实的事情
predecessor,n. 前任，前辈
clan,n. 宗族；部落；集团
tribe,n. 部落；族；宗族；一伙
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
heir,n.  继承人；后嗣；嗣子
offspring,n. 后代，子孙；产物
successor,n. 继承者；后续的事物
legacy,n. 遗赠，遗产
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
foresee,vt. 预见；预知
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
scenario,n. 方案；情节；剧本；设想
speculate,"vi. 推测；投机；思索
vt. 推断"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
pregnancy,n. 怀孕；丰富，多产；意义深长
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
hypothesis,n. 假设
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
deduce,vt. 推论，推断；演绎出
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
ascribe,vt. 归因于；归咎于
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
prevalent,adj. 流行的；普遍的，广传的
complacent,adj. 自满的；得意的；满足的
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
eminent,adj. 杰出的；有名的；明显的
negligent,adj. 疏忽的；粗心大意的
potent,adj. 有效的；强有力的，有权势的；有说服力的
detergent,n. 清洁剂；去垢剂
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
important,adj. 重要的，重大的；有地位的；有权力的
printer,n.  打印机；印刷工；印花工
projector,n.  投影仪；放映机；探照灯；设计者
transistor,n. 晶体管（收音机）
receiver,n. 接收器；接受者；收信机；收款员，接待者
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privacy,n. 隐私；秘密；隐居；隐居处
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
