foods,n.  食品
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
whales,"n. 鲸鱼（whale的复数）
v. 捕鲸（whale的第三人称单数形式）"
shells,"n. 贝壳（shell的复数）
v. 脱壳（shell的第三人称单数形式）"
shellfish,n. 甲壳类动物；贝类等有壳的水生动物
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
tuna,n. 金枪鱼，鲔鱼
rats,"n.  鼠；卑鄙之人（rat的复数）
v. 捕鼠；出卖（rat的三单形式）
int. 胡说；瞎扯"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
kangaroo,n. 袋鼠
monkeys,"n. 猴子（monkey的复数）
v. 模仿（monkey的单三形式）；胡闹，乱弄"
lions,n. 狮子（lion的复数）；雄狮；腰角
insects,n.  昆虫；昆虫类，昆虫纲（insect的复数形式）
worms,n.  蠕虫（worm的复数）
butterflies,n. 蝴蝶（butterfly的复数）
spiders,n.  蜘蛛；网页爬虫；蜘蛛布（spider复数）
flies,"n. 苍蝇（fly的复数）；舞台上空，吊景区；裤子前面的开口
v. 飞行；时间飞逝；乘飞机；飘动（fly的第三人称单数）"
herbivores,n. 食草动物( herbivore的名词复数 )
herds,"n. 畜群；大量（herd的复数）；人群
v. 聚在一起；结交（herd的三单形式）"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
dogs,"n. 狗（dog的复数）；瘦狗类
v. 紧紧跟踪；追猎；紧随（dog的第三人称单数）"
donkeys,n. 驴( donkey的名词复数 )
sheep,n. 羊，绵羊；胆小鬼
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
geese,n. 鹅（goose复数）
swans,n. 天鹅( swan的名词复数 )
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
horse riding,"n. 骑马
 马术；骑马活动；海滩骑马"
horse hair,"un. 马鬃
 马毛；马鬃毛；马尾"
sable,"n.  黑貂；黑貂皮；丧服
adj. 黑的；黑貂皮的；昏暗的"
pets,
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
behaviors,n. 行为；举止（behavior的复数）
animals behavior,
animal life,"na. 动物的生态
 动物生活；动物的生活；动物性生命"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
reproduction,n. 繁殖，生殖；复制；复制品
evolution,n. 演变；进化论；进展
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
self-defense,n. 自卫；正当防卫；自卫权
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
fighting,"n. 战斗，搏斗
v. 奋斗（fight的ing形式）；打仗；与…进行拳击
adj. 战斗的；好战的；适于格斗的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
instinctive,adj. 本能的；直觉的；天生的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
reflective,adj. 反射的；反映的；沉思的
feeding,"n. 饲养；吃；输送
v. 饲养（feed的ing形式）
adj. 供给饲料的；摄取食物的"
feeding time,"un. 供片时间；供料时间
 喂食时间；喂食时刻；喂养时间"
feed animals,
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
migration,n. 迁移；移民；移动
migration patterns,
route,"n. 路线；航线；通道
vt. 按某路线发送"
hunting,"n. 打猎；追逐；搜索
v. 狩猎；寻找（hunt的ing形式）；追捕
adj. 打猎的；振荡的"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
humans,n.  人类（human的复数形式）
human activities,"un. 人类活动
 人文活动；人工活动；活动情况"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
threat,n. 威胁，恐吓；凶兆
danger,n. 危险；危险物，威胁
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
harmful,adj. 有害的；能造成损害的
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
survival,n. 幸存，残存；幸存者，残存物
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
reduction,n. 减少；下降；缩小；还原反应
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
destroy,vt. 破坏；消灭；毁坏
donations,n.  捐赠（donation的复数）；捐款
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
safari park,"n. 野生动物园
 沙法瑞公园；狩猎公园；野生公园"
state park,
national parks,"n. 国家公园
 美国国家公园；安省国家公园；国家公园体系"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
conservation,n. 保存，保持；保护
protect,vt. 保护，防卫；警戒
protection,n. 保护；防卫；护照
protection policy, 保护政策；保护策略；保护原则
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
diversity,n. 多样性；差异
varies,"n. 多重复合
v. 使不同；改变；违背（vary的三单形式）"
variety,n. 多样；种类；杂耍；变化，多样化
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
various,adj. 各种各样的；多方面的
variation,n. 变化； 变异，变种
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
plants,"n.  植物； 工厂（plant的复数形式）
v. 栽种；安置（plant的单三形式）"
plantations,n. 种植园，大农场( plantation的名词复数 )
marine plants, 海洋植物
bushes,"n. 灌木；丛林地带；小城镇（bush的复数）
v. 以灌木装饰；用耙耙平；使精疲力竭（bush的三单形式）"
vegetation,n. 植被；植物，草木；呆板单调的生活
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
grasses,"n. 草地（grass的复数）；稻科植物类；禾本种
v. 放牧（grass的三单形式）；使长满草"
grassland,n. 草原；牧草地
grass ground,
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weeding,"n.  除草；除杂草；（图书馆馆藏）汰旧更新
v.  除草（weed的现在分词）"
growing,"v. 生长（grow的ing形式）
adj. 发展的；成长的"
seeds,"n. 种子；种子选手（seed的复数）；种子状物；子孙后代
v. 播种；取出…的核；催化（seed的第三人称单数）"
roots,"n.  根；根源（root的复数形式）
v. 生根；扎根；连根拔起（root的三单形式）"
stems,"n.  茎（stem的复数）；树管；阻挡物
v. 起源于（stem的三单形式）；除去…的茎；给…装杆；止住"
stings,"n. 螫伤处( sting的名词复数 ); （某些昆虫的）毒刺; （身体或心灵的）剧痛; （警察为抓捕罪犯而设的）圈套
v. 螫伤，刺伤( sting的第三人称单数 ); 感到剧痛; 激怒; 使不安"
spine,n. 脊柱，脊椎；刺；书脊
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
branches,n.  分支（branch的复数）；分支机构
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaves,"n. 树叶；花瓣（leaf的复数）
v. 离开（leave的第三人称单数）"
flowers, 花（flower的复数）
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
rare trees,
forests,n. 森林；森林经济（forest的复数形式）
forestry,n. 林业；森林地；林学
campsite,n. 营地
forest campsite,
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
tents,"n. 旅游帐篷；住所； 塞条（tent的复数）
v. 用帐篷遮盖；将塞条嵌进…；注意（tent的第三人称单数）"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
woodland,"n. 林地；森林
adj. 林地的；居住在森林中的"
timber,n. 木材；木料
creature,n. 动物，生物；人；创造物
biology,n. （一个地区全部的）生物；生物学
microbiology,n. 微生物学
tissues,n.  组织，薄的纱织品；面巾纸（tissue的复数）
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
bacteria,n.  细菌
germs,"n.  细菌； 病菌（germ的复数形式）；致病菌
v. 发生（germ的单三形式）；萌芽"
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
engineers,"n.  工程师；机械师（engineer的复数）
v. 设计（engineer的单三形式）；建造"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
engineering faculty,
electronic,"adj. 电子的
n. 电子电路；电子器件"
electrical,adj. 有关电的；电气科学的
electric cars, 电动汽车；电动车；电力车
electric field,"na. 电场
 电场电场；静电场；简称电场"
electronic directory,
electronic card, 电子贺卡；电子卡；内存控制块
electricity,n. 电力；电流；强烈的紧张情绪
electricity supply,"n. 电力供应
 供电；电源；供电部门"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
water power,"n. 水力；水能
 水力发电；水动力；水功率"
capacity,n. 能力；容量；资格，地位；生产力
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
space museum, 太空博物馆；太空馆；太空博物院
space station,"n. 太空站；航天站；宇宙空间站
 国际空间站；空间电台；宇宙站"
satellite,n. 卫星；人造卫星；随从；卫星国家
rockets,
science,n. 科学；技术；学科；理科
scientists,n. 科学家（scientist的复数）
scientific,adj. 科学的，系统的
exploration,n. 探测；探究；踏勘
scientific explorations,
scientific research,"n. 科研
 科学研究；科研成果；科学研究业"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advance level,
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chemistry lab,化学实验室
compounds,n. 混合物，化合物；大院（compound的复数形式）
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
mixture,n. 混合；混合物；混合剂
confusion,n. 混淆，混乱；困惑
burning time,"un. 燃烧时间；工作时间
 燃烧秒时；燃料燃尽时间"
protective clothing,"na. 防毒服
 防护服；防护衣；安全罩"
industry,n. 产业；工业；勤勉
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
factories,n. 工厂，车厂（factory复数形式）
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
toys factory,
machines,"n.  机器；机械（machine的复数）
v. 以机器制造（machine的第三人称单数形式）"
machinery,n. 机械；机器；机构；机械装置
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
energy,n.  能量；精力；活力；精神
energy-saving,adj. 节省能源的
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
fuel shortage,"un. 燃料缺乏
 燃料不足；能源短缺；缺乏期"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturing,"adj. 制造的；制造业的
n. 制造业；工业
v. 制造；生产（manufacture的ing形式）"
