approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
vengeance,n. 复仇；报复；报仇
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
shriek,"vt. 尖声发出
vi. 尖叫；促人注意
n. 尖声；尖锐的响声"
barb,"n. 箭头鱼钩等的倒钩；伤人的话
vt. 装倒钩于"
surrogate,"n. 代理；代用品；遗嘱检验法官
adj. 代理的；替代的
vt. 代理；指定某人为自己的代理人"
solitude,n. 孤独；隐居；荒僻的地方
humility,n. 谦卑，谦逊
microscopic,adj. 微观的；用显微镜可见的
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
slant,"n. 倾斜；观点；偏见
vi. 倾斜；有倾向
vt. 使倾斜；使倾向于
adj. 倾斜的；有偏见的"
saga,n. 传说；冒险故事；英雄事迹
secretion,n. 分泌；分泌物；藏匿；隐藏
devoid,adj. 缺乏的；全无的
mule,n. 骡；倔强之人，顽固的人；杂交种动物
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
pulp,"n. 纸浆；果肉；黏浆状物质
vt. 使…化成纸浆；除去…的果肉
vi. 变成纸浆；成为浆状"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
illicit,adj. 违法的；不正当的
hideous,adj. 可怕的；丑恶的
wrath,n. 愤怒；激怒
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
antenna,n.  天线； 触角， 触须
palette,n. 调色板；颜料
imperialism,n. 帝国主义
whack,"n. 重击；尝试；份儿；机会
vt. 重打；猛击；击败；削减
vi. 重击"
pitfall,n. 陷阱，圈套；缺陷；诱惑
downright,"adj. 明白的；直率的；显明的
adv. 完全，彻底；全然"
eerie,adj. 可怕的；怪异的
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
concur,vi. 同意；一致；互助
puncture,"n. 穿刺；刺痕
vt. 刺穿；揭穿；削弱
vi. 被刺穿；被戳破"
flea,n. 跳蚤；低廉的旅馆；生蚤的动物
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
rusty,adj. 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的
taper,"n. 细蜡烛，烛芯；逐渐变弱；锥形物
vi. 逐渐减少；逐渐变弱
vt. 逐渐减少；使成锥形"
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
redress,"n. 救济；赔偿；矫正
vt. 救济；赔偿；纠正；重新调整"
tenet,n. 原则；信条；教义
dispel,vt. 驱散，驱逐；消除（烦恼等）
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
infiltrate,"n. 渗透物
vi. 渗入
vt. 使潜入；使渗入，使浸润"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
methane,n.  甲烷； 沼气
hone,"n. 磨刀石；想念；抱怨
vt. 用磨刀石磨"
synonymous,adj. 同义的；同义词的；同义突变的
stamina,n. 毅力；精力；活力；持久力
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
relegate,vt. 把降低到；归入；提交
obscene,adj. 淫秽的；猥亵的；可憎的
enclave,n. 飞地（指在本国境内的隶属另一国的一块领土）；被包围的领土；被包围物
undue,adj. 过度的，过分的；不适当的；未到期的
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
elude,vt. 逃避，躲避
detergent,n. 清洁剂；去垢剂
psyche,n. 灵魂；心智
fraternity,n. 友爱；兄弟会；互助会；大学生联谊会
obligate,"vt. 使负义务；强使，强迫；对…施以恩惠
adj. 有责任的，有义务的；必需的"
precarious,adj. 危险的；不确定的
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
bombard,"n. 射石炮
vt. 轰炸；炮击"
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
protract,vt. 绘制；延长；伸展
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
mischief,n. 恶作剧；伤害；顽皮；不和
ledger,n. 总帐，分户总帐； 分类帐；帐簿；底帐；（手脚架上的）横木
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
fresco,n. 壁画
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
grotesque,"n. 奇异风格；怪异的东西
adj. 奇形怪状的；奇怪的；可笑的"
prick,"n. 刺，扎；刺痛，刺伤；阴茎；锥
vt. 刺，戳；刺伤，刺痛；竖起
vi. 刺；竖起
adj. 竖起的"
flair,n. 天资；天分；资质；鉴别力
knuckle,"n. 关节；指关节；指节；膝关节；肘
vi. 开始认真工作
vt. 用指关节敲打"
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
stiffen,"vt. 使变硬；使粘稠
vi. 变硬；变猛烈；变粘"
hearth,n. 灶台；炉边；炉床；壁炉地面
espionage,n. 间谍；间谍活动；刺探
punitive,adj. 惩罚性的；刑罚的
confiscate,"vt. 没收；充公；查抄
adj. 被没收的"
fixation,"n. 异常依恋，固恋，痴迷；癖
n. 固定；定位；定影"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
bonfire,n. 篝火；营火
counteract,vt. 抵消；中和；阻碍
superstition,n. 迷信
disconcert,vt. 使仓皇失措；使困惑；破坏
pedigree,"n. 血统；家谱
adj. 纯种的"
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
pathogen,n. 病原体；病菌
hump,"n. 驼峰；驼背；圆形隆起物
vt. 使隆起；使烦恼
vi. 隆起；弓起；努力；急速行进"
crackle,"n. 裂纹；龟裂；爆裂声
vt. 使发爆裂声；使产生碎裂花纹
vi. 发劈啪声，发出细碎的爆裂声；表面形成碎裂花纹"
horde,n. 一大群，群；游牧部落
paternal,adj. 父亲的；得自父亲的；父亲般的
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
corollary,n. 推论；必然的结果
conservatory,"n. 温室；音乐学校
adj. 有保存力的；保存性的"
errand,n. 使命；差事；差使
rapport,n. 密切关系，交往；和谐一致
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
tamper,"n. 填塞者；捣棒
vi. 篡改；干预；损害；削弱；玩弄；贿赂
vt. 篡改"
guild,n. 协会，行会；同业公会
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
unwind,"vt. 放松；解开； 展开
vi. 放松；解开；松开"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
revamp,"n. 改进；换新鞋面
vt. 修补；翻新；修改"
disband,"vt. 解散；遣散
vi. 解散"
saliva,n. 唾液；涎
tremor,n.  震颤；颤动
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
gulp,"n. 一大口（尤指液体）；吞咽
vi. 哽住；喘不过气
vt. 狼吞虎咽地吃；大口地吸"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
perjury,n. 伪证；伪誓；背信弃义
bogus,"n. 伪币
adj. 假的；伪造的"
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
majestic,adj. 庄严的；宏伟的
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
ghastly,"adj. 可怕的；惨白的；惊人的；极坏的
adv. 恐怖地；惨白地"
tantrum,n. 发脾气；发怒
ferocious,adj. 残忍的；惊人的
strew,vt. 散播；撒满
endemic,"n. 地方病
adj. 地方性的；风土的"
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
seclude,vt. 使隔离，使隔绝
ooze,"vt. 渗出；泄漏
vi. 渗出；泄漏
n.  软泥"
pry,"vi. 刺探，探查
vt. 撬动，撬开
n. 窥探；杠杆"
promulgate,vt. 公布；传播；发表
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
exasperate,vt. 恶化；使恼怒；激怒
treason,n.  叛国罪；不忠
gild,vt. 镀金；虚饰；供给钱
instantaneous,adj. 瞬间的；即时的；猝发的
amiable,adj. 和蔼可亲的，亲切的
retaliate,"vi. 报复；回敬
vt. 报复"
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
uncanny,adj. 神秘的；离奇的；可怕的
plunder,"n. 抢夺；战利品；掠夺品
vt. 掠夺；抢劫；侵吞
vi. 掠夺；盗窃"
gush,"n. 涌出；迸发
v. 涌出；迸出"
strife,n. 冲突；争吵；不和
glisten,"n. 闪光，闪耀
vi. 闪光，闪亮"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
goggle,"n. 护目镜，风镜；眼睛睁视
adj. 瞪眼的，睁眼的
vt. 使瞪眼；使眼珠转动
vi. 眼珠转动；瞪眼看"
pane,"n. 窗格；边；面；窗格玻璃；嵌板
vt. 装窗玻璃于；镶嵌板于"
neon,n. 霓虹灯；氖（10号元素，符号Ne）
remuneration,n. 报酬；酬劳，赔偿
retribution,n. 报应；惩罚；报答；报偿
sanity,n. 明智；头脑清楚；精神健全；通情达理
wry,"adj. 歪斜的，扭歪的；歪曲的；用反语表达幽默的；揶揄的
vt. 扭曲；扭歪
vi. 扭曲；扭歪"
animosity,n. 憎恶，仇恨，敌意
resound,"vt. 回响；传颂；大声讲
vi. 回响；鸣响；被传颂"
gust,"n. 风味；一阵狂风；趣味
vi. 一阵阵地劲吹"
tavern,n. 酒馆；客栈
dosage,n. 剂量，用量
cyclical,adj. 周期的，循环的
vista,n. 远景，狭长的街景；展望；回顾
overture,"n. 前奏曲；提案；序幕
vt. 提议；为……奏前奏曲"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
superimpose,vt. 添加；重叠；附加；安装
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
eschew,vt. 避免；避开；远避
rendition,n. 译文；演奏；提供；引渡逃奴
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
margarine,n. 人造黄油；人造奶油
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
condone,vt. 宽恕；赦免
tingle,"n. 刺痛感；激动；鸣响
vt. 刺痛；使激动
vi. 感到刺痛；（耳朵等）鸣响"
genesis,n. 发生；起源
replenish,vt. 补充，再装满；把…装满；给…添加燃料
uproar,n. 骚动；喧嚣
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
buoy,"n.  浮标；浮筒；救生圈；航标
vt. 使浮起；支撑；鼓励"
sanitation,n.  环境卫生；卫生设备；下水道设施
elucidate,vt. 阐明；说明
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
hoot,"n. 鸣响；嘲骂声；汽笛响声
vi. 鸣响；大声叫嚣
vt. 轰赶；呵斥"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
righteous,adj. 正义的；正直的；公正的
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
appease,vt. 使平息；使满足；使和缓；对…让步
besiege,vt. 围困；包围；烦扰
sear,"n. 烙印；烧焦痕迹
adj. 枯萎的；烤焦的
vt. 烤焦；使…枯萎
vi. 干枯；烧焦；凋谢"
liquidation,n. 清算；偿还；液化；清除
kinetic,adj.  运动的；活跃的
scuttle,"n. 天窗；煤桶；筐
vt. 使船沉没；破坏
vi. 逃避；急促地跑"
spire,"n.  尖顶；尖塔；螺旋
vt. 给…加塔尖
vi. 螺旋形上升"
catapult,"n. 弹弓；石弩；飞机弹射器；（飞机上的）座椅弹射器
vt. 用弹弓射；用弹射器发射；猛投
vi. 用弹射器弹射；快速移动"
serpent,n. 蛇（尤指大蛇或毒蛇）；狡猾的人
conveyance,n. 运输；运输工具；财产让与
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
debacle,n. 崩溃；灾害；解冻
vertex,n. 顶点； 头顶； 天顶
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
detest,vt. 厌恶；憎恨
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
instigate,vt. 唆使；煽动；教唆；怂恿
pamper,vt. 纵容；使…过量；给…吃得过多
distraught,adj. 发狂的；心烦意乱的
magnification,n. 放大；放大率；放大的复制品
quell,vt. 平息；镇压；减轻；消除
custodian,n. 管理人；监护人；保管人
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
fiasco,n. 惨败
cringe,"n. 畏缩；奉承
vi. 畏缩；奉承；阿谀"
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
panorama,n. 全景，全貌；全景画；概论
supplant,vt. 代替；排挤掉
vulture,n. 秃鹰，秃鹫；贪婪的人
flinch,"n. 退缩；畏惧
vi. 退缩；畏惧"
meddle,vi. 管闲事，干预他人之事
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
malice,n. 恶意；怨恨；预谋
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
italic,"n. 斜体字（或字母、数码等）
adj.  斜体的"
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
outstrip,vt. 超过；胜过；比…跑得快
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
euphoria,n. 精神欢快， 欣快；兴高采烈；欣快症；幸福愉快感
apex,n. 顶点；尖端
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
ingest,vt. 摄取；咽下；吸收；接待
benefactor,n. 恩人；捐助者；施主
inexplicable,adj. 费解的；无法说明的；不能解释的
nocturnal,adj. 夜的；夜曲的；夜间发生的
porous,adj. 多孔渗水的；能渗透的；有气孔的
raucous,adj. 沙哑的；刺耳的；粗声的
dabble,"vt. 溅湿；浸入水中
vi. 涉猎；涉足；玩水"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
inert,adj.  惰性的；呆滞的；迟缓的；无效的
grimace,"n. 鬼脸；怪相；痛苦的表情
vi. 扮鬼脸；作怪相；作苦相"
exude,"vt. 散发；流出；使渗出
vi. 流出；渗出；发散"
garnish,"n. 为增加色香味而添加的配菜；装饰品
vt. 装饰"
meltdown,n. 灾难；彻底垮台；熔化；暴跌
droop,"n. 下垂；消沉
vt. 使…下垂
vi. 下垂；萎靡；凋萎"
fictitious,adj. 虚构的；假想的；编造的；假装的
wand,"n. 魔杖；棒；权杖；嫩枝；识别笔（等于wand reader）
vt. 用扫描笔在…上扫描条形码"
fussy,adj. 爱挑剔的，难取悦的；易烦恼的
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
hobble,"n. 跛行步态
vt. 使跛行
vi. 蹒跚；跛行"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
esoteric,adj. 秘传的；限于圈内人的；难懂的
gully,"n. 冲沟；水沟
vt. 在…上开沟
vi. 形成沟"
unruly,adj. 不守规矩的；任性的；难驾驭的
rescind,vi. 解除；废除；撤回
anomalous,adj. 异常的；不规则的；不恰当的
forsake,vt. 放弃；断念
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
sterilize,vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
annotate,"vt. 注释；作注解
vi. 注释；给…作注释或评注"
alkaline,adj. 碱性的，碱的
