abdicate,"vt. 退位；放弃
vi. 退位；放弃"
saturated,"v. 使渗透，使饱和（saturate的过去式）
adj. 饱和的；渗透的；深颜色的"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
scandalize,vt. 使震惊；诽谤；使愤慨
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcity,n. 不足；缺乏
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scavenge,"vt. 打扫；排除废气；以…为食
vi. 清除污物；打扫"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scorpion,n. 蝎子；蝎尾鞭；心黑的人
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
scrawny,adj. 骨瘦如柴的
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
scrubber,n.  洗涤器；洗刷者；刷子
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
scrutiny,n. 详细审查；监视；细看；选票复查
scuba,n. 水肺；水中呼吸器
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
scurrilous,adj. 下流的；说话粗鄙恶劣的；无礼的
seasonal,adj. 季节的；周期性的；依照季节的
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
secrete,vt. 藏匿；私下侵吞；分泌
secretion,n. 分泌；分泌物；藏匿；隐藏
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
sedentary,adj. 久坐的；坐惯的；定栖的；静坐的
sediment,n. 沉积；沉淀物
sedimentary,adj. 沉淀的
seedling,n. 秧苗，幼苗；树苗
seesaw,"n. 跷跷板；秋千
adj. 交互的；前后动的
vt. 使上下或来回摇动
vi. 玩跷跷板；上下来回摇动"
segment,"n. 段；部分
vt. 分割
vi. 分割"
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
seismic,adj. 地震的；因地震而引起的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
semicircle,n. 半圆，半圆形
semiconductor,n.  半导体
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
seminar,n. 讨论会，研讨班
senate,n. 参议院，上院；（古罗马的）元老院
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensitize,"vt. 使敏感；使具有感光性
vi. 变得敏感"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
sentient,"n. 有知觉的人
adj. 有感情的；有感觉力的；意识到的"
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentinel,"n. 哨兵
vt. 守卫，放哨"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
sequester,vt. 使隔绝；使隐退；没收，扣押
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
sewage,n. 污水；下水道；污物
shareholder,n. 股东；股票持有人
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
shellfish,n. 甲壳类动物；贝类等有壳的水生动物
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
shortfall,n. 差额；缺少
shrill,"n. 尖叫声
adv. 尖锐地
vi. 尖声喊叫
vt. 尖声喊出
adj. 尖锐的；刺耳的"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
shrub,n. 灌木；灌木丛
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
sibling,n. 兄弟姊妹；民族成员
sidestep,"n. 台阶；横跨的一步
vt. 回避；横跨一步躲避
vi. 回避问题；侧向跨步"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
signature,n. 署名；签名；信号
significance,n. 意义；重要性；意思
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
silkworm,n. 蚕，桑蚕
similarity,n. 类似；相似点
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
single-entry,adj. single entry的变形
singularly,adv. 异常地；非常地；令人无法理解地
sinus,n.  窦；静脉窦；下陷或凹下去的地方
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
skull,n. 头盖骨，脑壳
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
sloth,n. 怠惰，懒惰； 树懒
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
smelt,"n. 香鱼；胡瓜鱼
vt. 熔炼，冶炼；精炼
vi. 熔炼，精炼
v. 闻（smell的过去式和过去分词）"
smog,n. 烟雾
smokestack,"n. 烟囱，烟窗
adj. 低技术制造业的；大工厂的"
smuggler,n. 走私者；走私犯； 走私船
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
sniper,n. 狙击兵
snout,n. 鼻子；猪嘴；烟草；鼻口部；口吻状物
snuff,"n. 鼻烟；烛花；灯花
vt. 剪烛花；掐灭；消灭；嗅出
vi. 扑灭；断气；嗅"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
sodium,n.  钠（11号元素，符号 Na）
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
solidarity,n. 团结，团结一致
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solvency,n. 偿付能力；溶解力
songbird,n. 鸣禽，鸣鸟；女歌手；告密者
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
sparse,adj. 稀疏的；稀少的
spate,n. 洪水；一阵；大雨；突然迸发
spatial,adj. 空间的；存在于空间的；受空间条件限制的
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialization,n. 专门化；特殊化；特化作用
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
species,"n.  物种；种类
adj. 物种上的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specify,vt. 指定；详细说明；列举；把…列入说明书
specimen,n. 样品，样本；标本
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
spectacular,adj. 壮观的，惊人的；公开展示的
spectator,n. 观众；旁观者
specter,n. 幽灵；妖怪；恐怖之物
spectrum,n. 光谱；频谱；范围；余象
speculate,"vi. 推测；投机；思索
vt. 推断"
speculation,n. 投机；推测；思索；投机买卖
speculator,n. 投机者；思索者
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
spherical,adj. 球形的，球面的；天体的
spiced,adj. 五香的；调过味的；含香料的
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
spinach,n. 菠菜
spine,n. 脊柱，脊椎；刺；书脊
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
spiteful,adj. 怀恨的，恶意的
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
splotchy,adj. 有斑点的；沾上污点的
spoilage,n. 损坏，糟蹋；掠夺；损坏物
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sporadically,adv. 零星地；偶发地
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
spouse,"n. 配偶
vt. 和…结婚"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
sprinkler,n. 洒水车；洒水器
spruce,"n. 云杉
vt. 打扮整齐
adj. 整洁的
vi. 打扮整齐；使显干净"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
spurious,adj. 假的；伪造的；欺骗的
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
staggering,adj. 惊人的，令人震惊的
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
stamina,n. 毅力；精力；活力；持久力
stance,n. 立场；姿态；位置；准备击球姿势
standardize,vt. 使标准化；用标准检验
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
startlingly,adv. 惊人地；使人惊奇地
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statistic,"n. 统计数值
adj. 统计的，统计学的"
statistical,adj. 统计的；统计学的
stature,n. 身高，身材；（精神、道德等的）高度
status,n. 地位；状态；情形；重要身份
status quo ante,"na. 原状
 以前的状态；以前状况；事前状态"
statute,n.  法规；法令；条例
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
stave,"n. 狭板；梯级；诗句；五线谱表
vi. 破碎；穿孔
vt. 延缓；击穿；凿孔于；压扁"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
steppe,n. 大草原， 干草原（特指西伯利亚一带没有树木的大草原）
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
stiffness,n. 僵硬；坚硬；不自然；顽固
