recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
forceful,adj. 强有力的；有说服力的；坚强的
enforce,vt. 实施，执行；强迫，强制
forcibly,adv. 用力地；强制地；有说服力地
enforcement,n. 执行，实施；强制
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
foresight,n. 先见，远见；预见；深谋远虑
insight,n. 洞察力；洞悉
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
oversight,n. 监督，照管；疏忽
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vain,adj. 徒劳的；自负的；无结果的；无用的
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacancy,n. 空缺；空位；空白；空虚
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
deduce,vt. 推论，推断；演绎出
deduct,vt. 扣除，减去；演绎
deduction,n. 扣除，减除；推论；减除额
deductive,adj. 演绎的；推论的；推断的
induce,vt. 诱导；引起；引诱；感应
induct,vt. 引导；感应；使…就职；征召入伍
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
inductive,adj.  归纳的； 感应的；诱导的
seduce,vt. 引诱；诱惑；诱奸；怂恿
seduction,n. 诱惑；魅力；（复数）诱惑物
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
eject,vt. 喷射；驱逐，逐出
inject,vt. 注入；注射
adjacent,adj. 邻近的，毗连的
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
jetlag,n. 时差综合症（跨时区高速飞行后生理节奏的破坏）
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
rectangle,n. 矩形；长方形
rectify,vt. 改正；精馏；整流
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breakage,n. 破坏；破损；裂口；破损量
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
amid,prep. 在其中，在其间
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
mediaeval,adj. 中世纪的；中古的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
decisive,adj. 决定性的；果断的，坚定的
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
decidedly,adv. 果断地；断然地；明显；毫无疑问
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
pesticide,n. 杀虫剂
concise,adj. 简明的，简洁的
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
outdate,vt. 使过时；使废弃；使陈旧
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
utile,adj. 有用的，有助益的
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
utilize,vt. 利用
utilise,vt. 使用（等于utilize）；利用
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
cuisine,n. 烹饪，烹调法
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
spaghetti,n. 意大利式细面条
pasta,n. 意大利面食；面团
pastry,n. 油酥点心；面粉糕饼
dough,n. 生面团；金钱
coconut,n. 椰子；椰子肉
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
edible,"n. 食品；食物
adj. 可食用的"
coupon,n. 息票；赠券；联票； 配给券
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
obese,adj. 肥胖的，过胖的
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
bout,n. 回合；较量；发作；一阵
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
quota,n. 配额；定额；限额
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
nil,n. 无，零
decimal,"n. 小数
adj. 小数的；十进位的"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
ample,adj. 丰富的；足够的；宽敞的
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
grid,n. 网格；格子，栅格；输电网
helmet,n. 钢盔，头盔
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
apparatus,n. 装置，设备；仪器；器官
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
jeopardize,vt. 危害；使陷危地；使受危困
jeopardise,vt. 危及（等于jeopardize）；使…受危险
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
ordeal,n. 折磨；严酷的考验；痛苦的经验
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
domination,n. 控制；支配
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominance,n. 优势；统治；支配
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
domain,n. 领域；域名；产业；地产
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
glorious,adj. 光荣的；辉煌的；极好的
glorify,vt. 赞美；美化；崇拜（神）；使更壮丽
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
isolation,n. 隔离；孤立； 绝缘； 离析
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
peninsula,n. 半岛
insulate,vt. 隔离，使孤立；使绝缘，使隔热
tangent,"n.  切线， 正切
adj. 切线的，相切的；接触的；离题的"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
intangible,adj. 无形的，触摸不到的；难以理解的
contagion,n. 传染病；蔓延；触染
contagious,adj. 感染性的；会蔓延的
integer,n.  整数；整体；完整的事物
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
integrity,n. 完整；正直；诚实；廉正
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
disintegration,n. 瓦解，崩溃；分解
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
intact,adj. 完整的；原封不动的；未受损伤的
tact,n. 机智；老练；圆滑；鉴赏力
tactful,adj. 机智的；圆滑的；老练的
tactless,adj. 不机智的；不老练的；笨拙的
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
headquarters,n. 总部；指挥部；司令部
quart,n. 夸脱（容量单位）；一夸脱的容器
quartz,n. 石英
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
disjointed,adj. 脱节的；杂乱的；脱臼的
junction,n. 连接，接合；交叉点；接合点
conjunction,n. 结合； 连接词；同时发生
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
punctual,adj. 准时的，守时的；精确的
punctuate,"vt. 不时打断；强调；加标点于
vi. 加标点"
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defender,n. 防卫者，守卫者；辩护者；拥护者；卫冕者
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offence,n. 犯罪；违反；过错；攻击
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
namely,adv. 也就是；即是；换句话说
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
anonymous,adj. 匿名的，无名的；无个性特征的
antonym,n.  反义词
synonym,n. 同义词；同义字
hysterical,adj. 歇斯底里的；异常兴奋的
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
