bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
chapped,"adj. 有裂痕的；裂开的
v. 裂开（chap的过去式和过去分词）"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
norm,n. 标准，规范
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
normalization,n. 正常化；标准化；正规化；常态化
normalize,vt. 使正常化；使规格化，使标准化
normalise,vt. （使）正常化; （使）恢复友好状态
abnormal,adj. 反常的，不规则的；变态的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
county,n. 郡，县
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
accountable,adj. 有责任的；有解释义务的；可解释的
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
qualitative,adj. 定性的；质的，性质上的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
qualification,n. 资格；条件；限制；赋予资格
quart,n. 夸脱（容量单位）；一夸脱的容器
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
quartz,n. 石英
quota,n. 配额；定额；限额
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
recipe,n. 食谱； 处方；秘诀；烹饪法
cite,vt. 引用；传讯；想起；表彰
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
excitement,n. 兴奋；刺激；令人兴奋的事物
incite,vt. 煽动；激励；刺激
create,vt. 创造，创作；造成
creature,n. 动物，生物；人；创造物
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
recreation,n. 娱乐；消遣；休养
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
scrutiny,n. 详细审查；监视；细看；选票复查
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discreet,adj. 谨慎的；小心的
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
accurate,adj. 精确的
accuracy,n.  精确度，准确性
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
recur,vi. 复发；重现；采用；再来；循环；递归
incur,vt. 招致，引发；蒙受
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
currently,adv. 当前；一般地
curriculum,"n. 课程
总课程"
accumulate,"vt. 积攒
vi. 累积；积聚"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
intercourse,n. 性交；交往；交流
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
coarse,adj. 粗糙的；粗俗的；下等的
hoarse,"adj. 嘶哑的
嘶哑地"
corridor,走廊
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
dense,adj. 稠密的；浓厚的；愚钝的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensitivity,n. 敏感；敏感性；过敏
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
commonsense,adj. 常识的；具有常识的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consensus,n. 一致；舆论；合意
resent,vt. 怨恨；愤恨；厌恶
resentment,n. 愤恨，怨恨
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absence,n. 没有；缺乏；缺席；不注意
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presence,n. 存在；出席；参加；风度；仪态
presently,adv. （美）目前；不久
presentation,n. 展示；描述，陈述；介绍；赠送
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
essence,n. 本质，实质；精华；香精
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
renaissance,n. 文艺复兴（欧洲14至17世纪）
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
intense,adj. 强烈的；紧张的；非常的；热情的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intensity,n. 强度；强烈； 亮度；紧张
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attention,n. 注意力；关心；立正！（口令）
attentive,adj. 留意的，注意的
attendance,n. 出席；到场；出席人数；考勤
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attendee,n. 出席者；在场者
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extension,n. 延长；延期；扩大；伸展；电话分机
extensive,adj. 广泛的；大量的；广阔的
extent,n. 程度；范围；长度
intend,"vi. 有打算
vt. 打算；想要；意指"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intention,n. 意图；目的；意向；愈合
intentional,adj. 故意的；蓄意的；策划的
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contention,n. 争论，争辩；争夺；论点
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
pretense,n. 借口；虚假；炫耀；自吹（等于pretence）
pretence,n. 假装；借口；虚伪
pretension,n. 自负；要求；主张；借口；骄傲
pretentious,adj. 自命不凡的；炫耀的；做作的
tedious,adj. 沉闷的；冗长乏味的
tedium,n. 沉闷；单调乏味；厌烦
identity,n. 身份；同一性，一致；特性；恒等式
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drawback,n. 缺点，不利条件；退税
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
distract,vt. 转移；分心
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
subtract,vt. 减去；扣掉
tractor,n. 拖拉机；牵引机
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
intricate,adj. 复杂的；错综的，缠结的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
treaty,n. 条约，协议；谈判
maltreat,vt. 虐待；滥用；粗暴对待
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
trait,n. 特性，特点；品质；少许
traitor,n. 叛徒；卖国贼；背信弃义的人
treason,n.  叛国罪；不忠
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
ashtray,n. 烟灰缸
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
portray,vt. 描绘；扮演
portrait,n. 肖像；描写；半身雕塑像
patriot,n. 爱国者
patriotic,adj. 爱国的
patriotism,n. 爱国主义；爱国心，爱国精神
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
patron,n. 赞助人；保护人；主顾
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
petrol,n. （英）汽油
petroleum,n. 石油
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
