ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
somber,adj. 忧郁的；昏暗的；严峻的；阴天的
strident,adj. 刺耳的；尖锐的；吱吱尖叫的；轧轧作响的
tacit,adj. 缄默的；不言而喻的；心照不宣的；默许的
tantalizing,"adj. 撩人的；逗引性的；干着急的
v. 惹弄；逗弄人（tantalize的ing形式）"
taut,"adj. 拉紧的；紧张的；整洁的
vt. 使纠缠；使缠结"
vigilant,adj. 警惕的；警醒的；注意的；警戒的
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
austere,adj. 严峻的；简朴的；苦行的；无装饰的
baggy,adj. 袋状的，膨胀的；宽松而下垂的
barbed,"adj. 有刺的；讽刺的；有倒钩的
v. 讽刺（barb的过去分词）；装倒钩"
blatant,adj. 喧嚣的；公然的；炫耀的；俗丽的
brittle,adj. 易碎的，脆弱的；易生气的
charred,"adj. 烧黑了的，烧焦的
v. 烧焦（char的过去分词）；把…烧成碳"
clandestine,adj. 秘密的，私下的；偷偷摸摸的
culinary,adj. 厨房的；烹调用的
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
discretionary,adj. 任意的；自由决定的
drab,"n. 浅褐色；无生气；邋遢；小额
adj. 单调的；土褐色的
vt. 使无生气
vi. 嫖妓"
ethereal,adj. 优雅的；轻飘的；缥缈的；超凡的
flamboyant,"adj. 艳丽的；火焰似的；炫耀的
n. 凤凰木"
flimsy,"n. 薄纸；复写纸；打字纸
adj. 脆弱的；浅薄的；易损坏的；不周密的"
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
idiosyncratic,adj. 特质的；特殊的；异质的
idyllic,"牧歌的
田园诗的
悠闲的"
impeccable,adj. 无瑕疵的；没有缺点的
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
indelible,adj. 难忘的；擦不掉的
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
murky,adj. 黑暗的；朦胧的；阴郁的
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
palatable,adj. 美味的，可口的；愉快的
palpable,adj. 明显的；可感知的；易觉察的
plush,"adj. 豪华的；长毛绒做的；舒服的
n. 长毛绒"
posh,adj. 时髦的；漂亮的；奢侈的
pristine,adj. 原始的，古时的；纯朴的
pseudo,"n. 伪君子；假冒的人
adj. 冒充的，假的"
resonant,adj. 洪亮的，共振的；共鸣的
seedy,adj. 多种子的；结籽的；破烂的；没精打采的；下流的
shoddy,"n. 赝品；冒牌货；假装粗俗
adj. 假冒的；劣质的；卑劣的"
sleazy,adj. 质地薄的；肮脏的；低级庸俗的；破烂的
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
stricken,adj. 患病的；受挫折的；受…侵袭的；遭殃的
supple,"adj. 柔软的；灵活的；顺从的；易弯曲的；逢迎的
vt. 使柔软；使顺从
vi. 变柔顺；变柔软"
tangled,adj. 紊乱的；纠缠的；缠结的；复杂的
tawdry,"n. 俗丽的东西；廉价而俗丽之物
adj. 非常华丽的；廉价而俗丽的"
terse,adj. 简洁的，精练的，扼要的
tumultuous,adj. 吵闹的；骚乱的；狂暴的
abiding,"v. 遵守；容忍；继续存在（abide的现在分词）
adj. 持久的，永久的；不变的"
defunct,"n. 死者
adj. 死的；非现存的"
demographic,adj. 人口统计学的；人口学的
fledgling,n. 无经验的人；刚会飞的幼鸟
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
leisurely,"adj. 悠闲的；从容的
adv. 悠闲地；从容不迫地"
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
mounting,"n. 装备，装配；上马；衬托纸
v. 增加（mount的ing形式）；爬上
adj. 逐渐增加的"
ominous,adj. 预兆的；不吉利的
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
astute,adj. 机敏的；狡猾的，诡计多端的
audacious,adj. 无畏的；鲁莽的
brash,"n. 骤雨；碎片；胃灼热
adj. 无礼的，傲慢的；仓促的，性急的"
bullish,adj. 看涨的；上扬的；似公牛的
canny,adj. 精明的，谨慎的；节约的
coy,"adj. 腼腆的；忸怩作态的；怕羞的
vt. 爱抚
vi. 忸怩作态"
curt,adj. 简略的；简要的；草率的；简单粗暴的
disgruntled,adj. 不满的；不高兴的
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
dour,adj. 严厉的；顽强的；阴沉的；不爱讲话的
fickle,adj. 浮躁的；易变的；变幻无常的
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
fraternal,adj. 兄弟般的；友好的
glib,adj. 口齿伶俐的，油嘴滑舌的
gregarious,adj. 社交的；群居的
hapless,adj. 运气不好的，倒霉的
implacable,adj. 不能安抚的；难和解的；不能缓和的
inept,adj. 笨拙的；不适当的
insatiable,adj. 贪得无厌的；不知足的
intrepid,adj. 无畏的；勇敢的；勇猛的
introspective,adj. 内省的；反省的
nimble,adj. 敏捷的；聪明的；敏感的
obsessive,adj. 强迫性的；着迷的；分神的
perky,adj. 神气的；得意洋洋的；自信的；活泼的
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
tenacious,adj. 顽强的；坚韧的；固执的；紧握的；黏着力强的
touchy,adj. 过敏的；易生气的；难以取悦的
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
whimsical,adj. 古怪的；异想天开的；反复无常的
airborne,adj.  空运的；空气传播的；风媒的
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
concerted,adj. 协调的；协定的；商议定的
contentious,adj. 诉讼的；有异议的，引起争论的；爱争论的
cumbersome,adj. 笨重的；累赘的；难处理的
evasive,adj. 逃避的；托辞的；推托的
forensic,adj. 法院的；辩论的；适于法庭的
fraudulent,adj. 欺骗性的；不正的
insolvent,"n. 破产者；无力偿还者
adj. 破产的；无力偿还的"
null,"adj. 无效的，无价值的；等于零的
n. 零， 空"
patrician,"n. 贵族；有教养的人
adj. 贵族的；显贵的"
proprietary,"n. 所有权；所有人
adj. 所有的；专利的；私人拥有的"
punitive,adj. 惩罚性的；刑罚的
reactionary,"n. 反动分子；反动派；保守派
adj. 保守的，反动的；反动主义的；反对改革的"
regal,adj. 帝王的；王室的；豪华的；庄严的
sexist,"n. 性别歧视者；男性至上主义者
adj. 性别主义者的；性别歧视者的"
stringent,adj. 严格的；严厉的；紧缩的；短缺的
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
ablaze,"adj. 着火的；闪耀的；激昂的
adv. 着火；闪耀"
arid,adj. 干旱的；不毛的， 荒芜的
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
endemic,"n. 地方病
adj. 地方性的；风土的"
infrared,"n. 红外线
adj. 红外线的"
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
mutant,"n. 突变体；突变异种
adj. 突变的"
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
seismic,adj. 地震的；因地震而引起的
consummate,"adj. 至上的；完美的；圆满的
vt. 完成；作成；使达到极点"
daunting,adj. 使人畏缩的；使人气馁的；令人怯步的
downright,"adj. 明白的；直率的；显明的
adv. 完全，彻底；全然"
glowing,"adj. 灼热的；热情洋溢的；鲜艳的
v. 发光；容光焕发（glow的ing形式）；发热"
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
lurid,adj. 可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
overblown,"adj. 停息的；过分的；已盛开过的
v. 吹散；用力吹；过分渲染（overblow的过去分词）"
overriding,"adj. 高于一切的，最重要的
v. 践踏；压垮；不顾（override的ing形式）"
pleading,"n. 恳求；答辩；辩论，诉状
v. 辩护（plead的ing形式）
adj. 恳求的"
prodigious,adj. 惊人的，异常的，奇妙的；巨大的
rife,adj. 普遍的；流行的；盛传的
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
sizable,adj. 相当大的；大小相当的
stellar,adj. 星的；星球的；主要的；一流的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
tenuous,adj. 纤细的；稀薄的；贫乏的
veritable,adj. 真正的，名副其实的
anew,adv. 重新；再
amply,adv. 充足地；广大地
overly,adv. 过度地；极度地
artifice,n. 诡计；欺骗；巧妙的办法
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
bile,n. 胆汁；愤怒
sultan,n. 苏丹（某些伊斯兰国家统治者的称号）
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
lesion,n. 损害；身体上的伤害；机能障碍
due to ...,
accede,vi. 加入；同意；就任
duchy,n. 公国；公爵领地；直辖领地
arbitration,n. 公断，仲裁
allay,vt. 减轻；使缓和；使平静
hemorrhage,"n.  出血（等于haemorrhage）；番茄汁
vt.  出血
vi.  出血"
amalgamate,"vt. 合并；使（金属）汞齐化；混合
vi. 合并；汞齐化；调制汞合金"
confederation,n. 联盟；邦联；同盟
incursion,n. 入侵；侵犯
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
annexation,n. 合并；附加物
municipality,n. 市民；市政当局；自治市或区
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
destitution,n. 穷困；缺乏
beget,vt. 产生；招致；引起；当…的父亲
iniquity,n. 邪恶；不公正
decorum,n. 礼仪；礼貌；端正；恪守礼仪
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
quay,n. 码头
billow,"vt. 使翻腾
vi. 翻腾
n. 巨浪"
capricious,adj. 反复无常的；任性的
bode,"vt. 预示；为…的兆头
v. 停留；继续；遭到（bide的过去式）
vi. 预示"
auspicious,adj. 吉兆的，吉利的；幸运的
Mt. ...,
subversion,n. 颠覆；破坏
cleave,"vt. 砍开；使分开；打通
vi. 裂开；披荆斩棘地前进；粘住；坚持"
iris,"n.  虹膜；鸢尾属植物
adj. 鸢尾属植物的"
constrict,vt. 压缩；束紧
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
keel,"vt. 给…装龙骨；把…翻转
n. 龙骨；平底船；龙骨脊
vi. 翻倒；倾覆"
dinghy,n. 小艇；小船
decentralize,"n. 分散
vt. 使分散；使分权；疏散
vi. 分散集权；疏散"
environs,"n. 市郊，郊区；周围（environ的复数）
v. 围绕；包围（environ的第三人称单数）"
insecticide,n. 杀虫剂
decimate,vt. 十中抽一，取十分之一；大批杀害
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
noxious,adj. 有害的；有毒的；败坏道德的；讨厌的
garish,adj. 炫耀的；过分装饰的；过分鲜艳的
detract,"vi. 贬低；减去
vt. 转移，使分心"
amphitheater,n. 竞技场； 圆形露天剧场；古罗马剧场
arsenic,"n. 砷；砒霜；三氧化二砷
adj. 砷的；含砷的"
dilate,"vt. 使扩大；使膨胀
vi. 扩大；膨胀；详述"
a blood vessel,
sorcerer,n. 魔术师；男巫士
wand,"n. 魔杖；棒；权杖；嫩枝；识别笔（等于wand reader）
vt. 用扫描笔在…上扫描条形码"
leaden,"adj. 铅灰色的；铅制的；沉闷的；铅一般重的
vt. 使沉重；使懒散；使呆滞"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dribble,"n. n. 点滴；运球
vt. 连击；使滴下；运球
vi. 滴下；流口水"
trough,n. 水槽，水槽；低谷期；饲料槽；低气压
tenement,n. 房屋；住户，租户；租房子
vantage,n. 优势；有利情况
drizzle,"n. 细雨，毛毛雨
vt. 下毛毛雨
vi. 下毛毛雨"
armistice,n. 停战，休战；休战协议
emancipate,vt. 解放；释放
deforestation,n. 采伐森林；森林开伐
encroach,vi. 蚕食，侵占
periphery,n. 外围，边缘；圆周；圆柱体表面
depletion,n. 消耗；损耗；放血
engender,"vt. 使产生；造成
vi. 产生；引起"
the ozone layer, 大气臭氧；年夜气臭氧
squalid,adj. 肮脏的；污秽的；卑劣的
stubble,n. 残株；发茬，须茬
epitomize,vt. 摘要；概括；成为…的缩影
vagabond,"n. 流浪者；浪子；流氓；懒汉
adj. 流浪的；流浪者的；浪荡的；漂泊的
vi. 到处流浪"
exude,"vt. 散发；流出；使渗出
vi. 流出；渗出；发散"
stench,"n. 恶臭；臭气
vt. 使…散发恶臭
vi. 发恶臭"
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
breadwinner,n. 负担家计的人；养家糊口的人
lose one's life,"na. 死；丢了性命
 丧生；丧命；牺牲"
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
conservatory,"n. 温室；音乐学校
adj. 有保存力的；保存性的"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
inlaid,"adj. 镶嵌的；嵌入的；镶饰的
v. 把…镶入；用镶嵌物装饰（inlay的过去分词形式）"
glint,"n. 闪烁；闪光
vt. 使闪光；使发光
vi. 闪烁；（光线）反射；闪闪发光"
inlaid with ...,
gurgle,"n. 咯咯声；汩汩声
vt. 用咯咯声表示
vi. 作汩汩声；作咯咯声"
vale,"n. 谷；溪谷
int. 再见；再会"
impinge,"vi. 撞击；侵犯
vt. 撞击"
oneness,n. 统一性；单一性；同一性；完整
neurosis,n.  神经症；神经衰弱症
hypnosis,n. 催眠；催眠状态
interlock,v.  互锁；连锁
precipitous,adj. 险峻的；急躁的，鲁莽的
jut,"vt. 使…伸出；使…突出
vi. 突出；伸出
n. 突出部分；尖端"
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
insulation,n. 绝缘；隔离，孤立
muffle,"vt. 蒙住；裹住；抑制；发低沉的声音
n. 低沉的声音；消声器；包裹物（如头巾，围巾等）；唇鼻部"
mutilate,vt. 切断，毁坏；使…残缺不全；使…支离破碎
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
patter,"n. 行话；轻快脚步声；急速拍打声
vt. 喋喋不休地说；使…发出嗒嗒声
vi. 滴答地响；急速地说；发出急速轻拍声"
hangar,n. 飞机库；飞机棚
ostracism,n. 排斥；放逐；贝壳流放法
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
despotic,adj. 暴虐的，暴君的；专横的
Jew,"n. 犹太人；犹太教徒；守财奴
vt. 欺骗；杀价"
roundup,n. 综述；集拢；围捕；摘要
polarize,"vt. （使）极化；（使）偏振；（使）两极分化
vi. 极化；偏振；两极分化"
sedate,"adj. 安静的；沉着的
vt. 给…服镇静剂"
presage,"n. 预感；前兆
vt. 预感；预言
vi. 预示；预言"
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
genus,n. 类，种； 属
narcissus,n. 水仙
cove,"n. 小湾；山凹；小峡谷
vt. 使内凹；使成拱形
vi. 内凹；成拱形"
periscope,n. 潜望镜
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
senile,adj. 高龄的；老衰的；高龄所致的
recuperate,"vi. 恢复，复原；挽回损失
vt. 恢复，使恢复健康"
typhoid,"n. 伤寒
adj. 伤寒的；斑疹伤寒症的"
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
resuscitate,"vt. 使复苏；使复兴
vi. 恢复；复兴"
panacea,n. 灵丹妙药；万能药
coroner,n. 验尸官
seclude,vt. 使隔离，使隔绝
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
smolder,"n. 阴燃；闷烧
vi. 闷烧；郁积"
sod,"n. 草地；草皮
vt. 铺上草皮；以生草土覆盖；铺草皮于"
stagnate,"vt. 使淤塞；使沉滞；使萧条
vi. 停滞；淤塞；变萧条"
decadence,n. 堕落，颓废；衰落
hedonism,n. 快乐主义；快乐论
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
frugality,n. 俭省，节俭
