actual,adj. 真实的，实际的；现行的，目前的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automation,n. 自动化；自动操作
autonomy,n. 自治，自治权
autocracy,n. 独裁政治；专制政治；独裁政府；独裁统治的国家
befriend,vt. 帮助；待人如友；扶助
belittle,vt. 轻视；贬低；使相形见小
begin,"vi. 开始；首先
vt. 开始"
behalf,n. 代表；利益
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behavior,n. 行为，举止；态度；反应
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
belong,vi. 属于，应归入；居住；适宜；应被放置
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
alongside,"prep. 在……旁边
adv. 在旁边"
longitude,n.  经度；经线
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
beside,prep. 在旁边；与…相比；和…无关
besides,"prep. 除…之外
adv. 此外；而且"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
between,"prep. 在…之间
adv. 在中间"
beverage,n. 饮料
beware,"vt. 注意，当心；提防
vi. 当心，小心"
bewilder,vt. 使迷惑，使不知所措
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
beguile,vt. 欺骗；使着迷；轻松地消磨
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
bequeath,vt. 遗赠；把…遗赠给；把…传下去
besiege,vt. 围困；包围；烦扰
befool,vt. 愚弄
befall,"vt. 降临；发生
vi. 降临"
bilingual,"n. 通两种语言的人
adj. 双语的"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
dilemma,n. 困境；进退两难；两刀论法
diligent,adj. 勤勉的；用功的，费尽心血的
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
biweekly,"n. 双周刊
adj. 两周一次的；每周两次的
adv. 两周一次地；每周两次地"
bilingual,"n. 通两种语言的人
adj. 双语的"
biennial,"n.  二年生植物
adj. 两年一次的"
biannual,adj. 一年两次的
amphicar,n. 水陆两用车
dioxide,n. 二氧化物
biochemistry,"n. 生物化学
生物化学过程"
chemistry,n. 化学；化学过程
biosphere,n. 生物圈
biography,n. 传记；档案；个人简介
biology,n. （一个地区全部的）生物；生物学
biocide,n. 杀虫剂； 抗微生物剂
by-product,n. 副产品；附带产生的结果；意外收获
byway,n. 偏僻小路；旁道；次要的领域
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
byroad,n. 侧道；间道；小路
bygone,"n. 过去的事
adj. 过去的"
bywork,n. 副业；业余工作
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centimetre,n. 厘米；公分
century,n. 世纪，百年；（板球）一百分
coauthor,"n. 共同执笔者，合著者
vt. 合著"
coexist,vi. 共存；和平共处
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
collaborate,vi. 合作；勾结，通敌
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collate,vt. 核对，校对；校勘
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
colleague,n. 同事，同僚
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
collocation,n. 搭配；配置；排列
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combination,n. 结合；组合；联合； 化合
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
commemorate,vt. 庆祝，纪念；成为…的纪念
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commonwealth,n. 联邦；共和国；国民整体
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compassion,n. 同情；怜悯
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
concentric,adj. 同轴的；同中心的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
confederation,n. 联盟；邦联；同盟
confirm,vt. 确认；确定；证实；批准；使巩固
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cooperation,n. 合作，协作； 协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspond,vi. 符合，一致；相应；通信
correspondence,n. 通信；一致；相当
correspondent,n. 通讯记者；客户；通信者；代理商行
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
corridor,走廊
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
contradiction,n. 矛盾；否认；反驳
contranatural,a. 违背自然的
counteract,vt. 抵消；中和；阻碍
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
counterpart,n. 副本；配对物；极相似的人或物
contravene,vt. 抵触；违反；反驳；否认
contraband,"n. 走私；走私货；战时禁运品（等于contraband of war）
adj. 禁运的；非法买卖的"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
cross-country,"n. 越野赛跑
adj. 越野的，横过田野的；横越全国的"
crossbar,n. 闩，横木；球门的横木
crossover,n. 交叉；天桥；转线路；变向运球过人
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
crosswalk,n. 人行横道
crossway,n. 交叉路，岔路
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
destruction,n. 破坏，毁灭；摧毁
depress,vt. 压抑；使沮丧；使萧条
depict,vt. 描述；描画
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
define,vt. 定义；使明确；规定
definite,adj. 一定的；确切的
definition,n. 定义； 清晰度；解说
desalt,vt. 除去盐分
deforest,vt. 采伐森林；清除…上的树林
detrain,"vt. 使…下火车；从火车上卸下
vi. 下火车"
decelerate,"vt. 使减速
vi. 减速，降低速度"
defame,v. 诽谤；中伤
delimit,vt. 划界；定界限
disadvantage,n. 缺点；不利条件；损失
disagree,vi. 不同意；不一致；争执；不适宜
dishonest,adj. 不诚实的；欺诈的
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
discourage,vt. 阻止；使气馁
discover,"vi. 发现
vt. 发现；发觉"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
distract,vt. 转移；分心
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
discuss,vt. 讨论；论述，辩论
disproof,n. 反证；反驳；反证物；反驳的证据
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
dispel,vt. 驱散，驱逐；消除（烦恼等）
dispassionate,adj. 不带感情的；平心静气的；公平的
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
distend,"vt. 使…膨胀；使…扩张
vi. 扩张；膨胀"
disburse,vt. 支付；支出
embody,vt. 体现，使具体化；具体表达
empower,vt. 授权，允许；使能够
embarrass,vt. 使局促不安；使困窘；阻碍
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
embattle,vt. 布阵；列阵；整军备战；严阵以待
embitter,vt. 使怨恨；使难受；使受苦
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
emboss,vt. 使凸出；在……上作浮雕图案；装饰
enact,vt. 颁布；制定法律；扮演；发生
encage,vt. 关在笼中；禁闭
enchain,"vt. 束缚，加锁炼于；吸引住
vi. 紧密结合"
enchant,vt. 使迷惑；施魔法
encompass,vt. 包含；包围，环绕；完成
encourage,vt. 鼓励，怂恿；激励；支持
endanger,vt. 危及；使遭到危险
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enlighten,vt. 启发，启蒙；教导，开导；照耀
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
exclude,vt. 排除；排斥；拒绝接纳；逐出
expel,vt. 驱逐；开除
expose,vt. 揭露，揭发；使曝光；显示
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
excise,"n. 消费税；货物税
vt. 切除；收税"
exceed,"vt. 超过；胜过
vi. 超过其他"
ex-minister, 前部长；前任部长；我把
ex-wife,n. 前妻
extracurricular,adj. 课外的；业余的；婚外的
extracurriculum,adj. 业余的；课外的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
exhume,vt. 发掘；掘出
ex-president,n. 前任总统
extrasolar,adj.  太阳系以外的
extraneous,adj. 外来的；没有关联的；来自体外的
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
forearm,"n. 前臂
vt. 预先武装；准备"
forewarn,vt. 预先警告
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forehead,n. 额，前额
foresee,vt. 预见；预知
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
forebode,v. 预示；预感；预兆
forefather,n. 祖先；前辈
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illustration,n. 说明；插图；例证；图解
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
inspiration,n. 灵感；鼓舞；吸气；妙计
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
indoor,adj. 室内的，户内的
irrespective,adj. 无关的；不考虑的；不顾的
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
illogical,adj. 不合逻辑的；不合常理的
illimitable,adj. 无限的；无边际的
impolite,adj. 无礼的；粗鲁的
impartial,adj. 公平的，公正的；不偏不倚的
impassive,adj. 冷漠的；无感觉的
immutable,adj. 不变的；不可变的；不能变的
imprison,vt. 监禁；关押；使…下狱
impel,vt. 推动；驱使；激励
imperil,vt. 危及；使陷于危险
implicit,adj. 含蓄的；暗示的；盲从的
impersonate,vt. 扮演；模仿；拟人，人格化
inglorious,adj. 可耻的；不名誉的；不体面的
incapable,adj. 不能的；无能力的；不能胜任的
inhuman,adj. 残忍的；野蛮的；无人性的
injustice,n. 不公正；不讲道义
inconstant,adj. 变化无常的；易变的；多变的
innocuous,adj. 无害的；无伤大雅的
inimitable,adj. 独特的；无比的；无法仿效的
insubordinate,adj. 不听话的；不顺从的
inborn,adj. 天生的；先天的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
inflame,"vt. 激怒；使燃烧；使发炎
vi. 燃烧；发炎；激动"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
irrelative,adj. 无关系的；不关连的
irresolute,adj. 优柔寡断的；踌躇不定的；无决断的
irreproachable,adj. 无可指责的；无过失的
irrefutable,adj. 不能驳倒的；不能回答的
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
infrared,"n. 红外线
adj. 红外线的"
infrastructure,n. 基础设施；公共建设；下部构造
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intercourse,n. 性交；交往；交流
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
internet,n. 因特网
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interpersonal,adj. 人际的；人与人之间的
interpose,"vt. 提出（异议等）；使插入；使干涉
vi. 干预；插入；调停"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
intervene,vi. 干涉；调停；插入
interchangeable,adj. 可互换的；可交换的；可交替的
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
