quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
sweatshirt,n. 运动衫；T-恤衫
Sweden,n. 瑞典（欧洲国家）
Swedish,"n. 瑞典语；瑞典人
adj. 瑞典的；瑞典语的；瑞典人的"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
swimmer,n. 游泳者
swimming,"n. 游泳；目眩
adj. 游泳的；游泳用的；善于游泳的；晕眩的
v. 游泳；漂浮；旋转（swim的ing形式）"
swimsuit,n. 游泳衣（女式）
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
Swiss,"n. 瑞士人；瑞士腔调
adj. 瑞士的；瑞士人的；瑞士风格的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
Switzerland,n. 瑞士（欧洲国家）
system,n. 制度，体制；系统；方法
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
talent,n. 才能；天才；天资
talented,adj. 有才能的；多才的
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
teacher,n. 教师；导师
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
teammate,n. 队友，同队队员
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
technique,n. 技巧，技术；手法
technology,n. 技术；工艺；术语
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
television,n. 电视，电视机；电视业
temperature,n. 温度；体温；气温；发烧
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tennis,n. 网球（运动）
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
awful,adj. 可怕的；极坏的；使人敬畏的
terribly,adv. 非常；可怕地；极度地
terrific,adj. 极好的；极其的，非常的；可怕的
terrified,"v. 使恐惧；恐吓（terrify的过去分词）
adj. 感到恐惧的；受惊吓的"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
text,"n.  文本；课文；主题
vt. 发短信"
passage,n. 一段（文章）；走廊；通路
textbook,n. 教科书，课本
Thailand,n. 泰国（东南亚国家名）
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
thank,"n. 感谢
vt. 感谢
int. 谢谢"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
theft,n. 盗窃；偷；赃物
them,pron. 他们；它们；她们
themselves,pron. 他们自己；他们亲自
therefore,adv. 因此；所以
thermometer,n. 温度计；体温计
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
thicken,"vt. 使变厚；使模糊；使…变复杂
vi. 变浓；变厚；变得模糊；变粗；变复杂"
thief,n. 小偷，贼
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
thinly,adv. 薄；稀疏地；细；瘦
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
thinkable,adj. 能想到的；可相信的；可考虑的；可能的
thinker,n. 思想家；思想者
thirsty,adj. 口渴的，口干的；渴望的，热望的
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
thrilled,"adj. 非常兴奋的；极为激动的
v. 激动（thrill的过去式）； 震颤"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
untidy,"adj. 不整洁的，凌乱的；懒散的；不干净利落的，不简练的；不适宜的
v. 使不整洁；使杂乱无章"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tights,紧身裤袜
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
times,"n. 时代（time的复数）； 次数
prep. 乘以
v. 使…相乘（time的第三人称单数）"
timetable,n. 时间表；时刻表；课程表
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
tiny,adj. 微小的；很少的
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
tiring,"adj. 累人的；麻烦的；无聊的；引起疲劳的
v. 厌倦；使劳累（tire的ing形式）；感到疲倦"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
bathroom,n. 浴室；厕所；盥洗室
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
tonight,"n. 今晚
adv. 在今晚"
tonne,n.  公吨（1，000公斤，等于metric ton）
toothbrush,n. 牙刷
toothpaste,n. 牙膏
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
topic,n. 主题（等于theme）；题目；一般规则；总论
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
totally,adv. 完全地
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
touching,"prep. 至于，关于
v. 接触；感动（touch的ing形式）
adj. 动人的，令人同情的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
tourism,n. 旅游业；游览
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
tracksuit,n. 运动服；运动套装
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
trader,n. 交易者；商人；商船
traditional,adj. 传统的；惯例的
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
translation,n. 翻译；译文；转化；调任
translator,n. 译者；翻译器
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
truth,n. 真理；事实；诚实；实质
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
trusty,"n. 模范囚犯；可信赖的人
adj. 可靠的；可信任的"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
turkey,n. 土耳其（横跨欧亚两洲的国家）
Turkey,
Turkish,"n. 土耳其语
adj. 土耳其人的，土耳其语的；土耳其的；突厥诸语言的"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
twice,adv. 两次；两倍
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
typical,adj. 典型的；特有的；象征性的
tyre,"n.  轮胎；轮箍
vt. 装轮胎于"
ugly,adj. 丑陋的；邪恶的；令人厌恶的
ugliness,n. 丑陋，丑陋之物
umbrella,n. 雨伞；保护伞；庇护；伞形结构
unable,adj. 不会的，不能的； 无能力的；不能胜任的
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underpants,n. 内衣裤；衬裤
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
undress,"n. 便服；裸体
vt. 使脱衣服；使卸去装饰；暴露
vi. 脱衣服"
unexpected,adj. 意外的，想不到的
unfortunately,adv. 不幸地
unhappy,adj. 不快乐的；不幸福的；不适当的
happy,adj. 幸福的；高兴的；巧妙的
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
university,n. 大学；综合性大学；大学校舍
unless,"conj. 除非，如果不
prep. 除…之外"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
unpack,"vi. 打开包裹
vt. 卸下…；解除…的负担"
unsuitable,adj. 不适合的；不适宜的；不相称的
suitable,adj. 适当的；相配的
unusual,adj. 不寻常的；与众不同的；不平常的
usual,adj. 通常的，惯例的；平常的
unusually,adv. 非常；异乎寻常地；显著地
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upload,vt. 上传
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
up-to-date,adj. 最新的，最近的；现代的，新式的
urgent,adj. 紧急的；急迫的
urgently,adv. 迫切地；紧急地；急切地
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
useful,adj. 有用的，有益的；有帮助的
user,"n. 用户
n. 使用者"
usual,adj. 通常的，惯例的；平常的
usually,adv. 通常，经常
valley,n. 山谷；流域；溪谷
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
variety,n. 多样；种类；杂耍；变化，多样化
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
various,adj. 各种各样的；多方面的
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
versus,prep. 对；与...相对；对抗
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
victim,n. 受害人；牺牲品；牺牲者
victory,n. 胜利；成功；克服
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
village,n. 村庄；村民；（动物的）群落
violin,n. 小提琴；小提琴手
violinist,n. 小提琴演奏者，小提琴家
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visitor,n. 访问者，参观者；视察者；候鸟
vocabulary,n. 词汇；词表；词汇量
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
