the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
absolutely,adv. 绝对地；完全地
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
bacterium,n.  细菌；杆菌属
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
seminar,n. 讨论会，研讨班
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
division,n.  除法；部门；分配；分割；师（军队）；赛区
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
diverse,adj. 不同的；多种多样的；变化多的
obtain,"vi. 获得；流行
vt. 获得"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
composition,n. 作文，作曲，作品； 构成；合成物；成分
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
popularity,n. 普及，流行；名气；受大众欢迎
coat,"n. 外套
vt. 覆盖…的表面"
decoration,n. 装饰，装潢；装饰品；奖章
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
scholarship,n. 奖学金；学识，学问
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
intention,n. 意图；目的；意向；愈合
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
appreciation,n. 欣赏，鉴别；增值；感谢
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
certainly,adv. 当然；行（用于回答）；必定
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
reaction,n. 反应，感应；反动，复古；反作用
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
differently,adv. 不同地；差异；各种
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）"
friendliness,n. 友谊；亲切；亲密
acceptable,adj. 可接受的；合意的；可忍受的
temporarily,adv. 临时地，临时
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
biological,adj. 生物的；生物学的
educational,adj. 教育的；有教育意义的
responsible,adj. 负责的，可靠的；有责任的
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
determination,n. 决心；果断；测定
softball,n. 垒球；垒球运动
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
disappearance,n. 消失；不见
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
closely,adv. 紧密地；接近地；严密地；亲近地
imply,vt. 意味；暗示；隐含
talented,adj. 有才能的；多才的
prevention,n. 预防；阻止；妨碍
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
historic,adj. 有历史意义的；历史上著名的
activist,n. 积极分子；激进主义分子
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
walker,n. 步行者；散步者；参加竞走者
runner,n. 跑步者；走私者；推销员；送信人
presence,n. 存在；出席；参加；风度；仪态
physically,adv. 身体上，身体上地
subscription,n. 捐献；订阅；订金；签署
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
spatial,adj. 空间的；存在于空间的；受空间条件限制的
disable,vt. 使失去能力；使残废；使无资格
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
hormone,n.  激素，荷尔蒙
dine,"vi. 进餐，用餐
vt. 宴请"
solve,"vt. 解决；解答；溶解
vi. 作解答"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
fund,"n. 基金；资金；存款
vt. 投资；资助"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
gene,n.  基因，遗传因子
cooperative,"n. 合作社
adj. 合作的；合作社的"
imagination,n.  想象力；空想；幻想物
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
similarly,adv. 同样地；类似于
elementary,adj. 基本的；初级的； 元素的
importantly,adv. 重要地；大量地；有名望地；自命不凡地
effectively,adv. 有效地，生效地；有力地；实际上
imitate,vt. 模仿，仿效；仿造，仿制
profitable,adj. 有利可图的；赚钱的；有益的
occasionally,adv. 偶尔；间或
poetry,n. 诗；诗意，诗情；诗歌艺术
normally,adv. 正常地；通常地，一般地
artistic,adj. 艺术的；风雅的；有美感的
immediate,adj. 立即的；直接的；最接近的
orchestra,n. 管弦乐队；乐队演奏处
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
necessarily,adv. 必要地；必定地，必然地
significantly,adv. 显著地；相当数量地
exploration,n. 探测；探究；踏勘
define,vt. 定义；使明确；规定
coordinator,n. 协调者； 协调器；同等的人或物
bedtime,"n. 就寝时间
adj. 适于睡前的"
constantly,adv. 不断地；时常地
threat,n. 威胁，恐吓；凶兆
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
judgement,n. 意见；判断力； 审判；评价
affordable,adj. 负担得起的
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
juice,n. （水果）汁，液；果汁
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
maths,n. 数学（等于mathematics）
secretly,adv. 秘密地；背地里
combination,n. 结合；组合；联合； 化合
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
successfully,adv. 成功地；顺利地
comeback,n. 恢复；复原
observation,n. 观察；监视；观察报告
proposal,n. 提议，建议；求婚
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
scammer,n. 调情的人；骗子
ecosystem,n. 生态系统
mathematical,adj. 数学的，数学上的；精确的
greatly,adv. 很，大大地；非常
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
install,vt. 安装；任命；安顿
fascination,n. 魅力；魔力；入迷
shortage,n. 缺乏，缺少；不足
donation,n. 捐款，捐赠物；捐赠
polythene,n.  聚乙烯（等于polyethylene）
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
option,n.  选项；选择权；买卖的特权
discontent,"n. 不满
adj. 不满的
vt. 使不满"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
definition,n. 定义； 清晰度；解说
entirely,adv. 完全地，彻底地
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
relatively,adv. 相当地；相对地，比较地
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
seeker,n. 探求者；搜查人
chick,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的"
pairing,n. 配对；摞合； 双层轧制
sprint,"n. 冲刺；短跑
vt. 全速奔跑
vi. 冲刺，全速跑"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
rented,"v. 租用；撕裂（rent的过去分词）
adj. 租用的"
enthusiastic,adj. 热情的；热心的；狂热的
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
insist,"vi. 坚持，强调
vt. 坚持，强调"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
profession,n. 职业，专业；声明，宣布，表白
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
mostly,adv. 主要地；通常；多半地
diary,n. 日志，日记；日记簿
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
visual,adj. 视觉的，视力的；栩栩如生的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
administration,n. 管理；行政；实施；行政机构
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
devote,vt. 致力于；奉献
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
psychology,n. 心理学；心理状态
protection,n. 保护；防卫；护照
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
housework,n. 家务事
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
preparation,n. 预备；准备
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
hurricane,n. 飓风，暴风
circumstance,n. 环境，情况；事件；境遇
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
increasingly,adv. 越来越多地；渐增地
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
agricultural,adj. 农业的；农艺的
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
arrival,n. 到来；到达；到达者
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
phenomenon,n. 现象；奇迹；杰出的人才
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
agriculture,n. 农业；农耕；农业生产；农艺，农学
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
fiction,n. 小说；虚构，编造；谎言
exit,"n. 出口，通道；退场
vi. 退出；离去"
worldwide,"adj. 全世界的
adv. 在世界各地"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
concept,n. 观念，概念
unable,adj. 不会的，不能的； 无能力的；不能胜任的
meanwhile,"adv. 同时，其间
n. 其间，其时"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
disability,n. 残疾；无能；无资格；不利条件
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
tourism,n. 旅游业；游览
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
convenient,adj. 方便的；适当的；近便的；实用的
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
fond,adj. 喜欢的；温柔的；宠爱的
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
recreation,n. 娱乐；消遣；休养
biology,n. （一个地区全部的）生物；生物学
length,n. 长度，长；时间的长短；（语）音长
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
extension,n. 延长；延期；扩大；伸展；电话分机
association,n. 协会，联盟，社团；联合；联想
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
