identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
diocese,n. 主教教区
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
fudge,"n. 软糖；胡说；谎话
vt. 捏造；粗制滥造；回避
vi. 逃避责任；欺骗；蒙混
int. 胡说八道！"
harbinger,"n. 先驱；前兆；预告者
vt. 预告；充做…的前驱"
impinge,"vi. 撞击；侵犯
vt. 撞击"
narcotic,"adj. 麻醉的；有麻醉作用的；催眠的
n.  麻醉药；镇静剂；起麻醉作用的事物"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
serrated,"adj.  锯齿状的，有锯齿的
v. 使有锯齿（serrate的过去分词）"
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
tarnish,"n. 晦暗，无光泽；污点
vt. 玷污；使……失去光泽；使……变灰暗
vi. 失去光泽；被玷污；变灰暗"
vanilla,"n. 香子兰，香草
adj. 香草味的"
animosity,n. 憎恶，仇恨，敌意
braid,"n. 辫子；穗带；发辫
vt. 编织"
dingy,adj. 昏暗的；肮脏的
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
fuddle,"n. 混乱；酗酒
vt. 灌醉；使混乱
vi. 酗酒"
harass,vt. 使困扰；使烦恼；反复袭击
loll,"vi. 懒洋洋地倚靠
vt. 懒洋洋地倚靠"
narcissus,n. 水仙
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
retaliate,"vi. 报复；回敬
vt. 报复"
serpent,n. 蛇（尤指大蛇或毒蛇）；狡猾的人
splutter,"n. 劈啪声；急忙说出的话；杂乱的声音
vt. 喷溅；气急败坏地说
vi. 喷溅唾沫；语无伦次地说"
tarmac,n. 柏油碎石路面；铺有柏油碎石的飞机跑道
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
bout,n. 回合；较量；发作；一阵
concubine,n. 妾；情妇；姘妇
dinghy,n. 小艇；小船
falcon,n.  猎鹰； 隼
frugal,adj. 节俭的；朴素的；花钱少的
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
impeccable,adj. 无瑕疵的；没有缺点的
loiter,"vi. 虚度；闲荡；徘徊
vt. 虚度；闲荡；混"
nappy,"n. 尿布
adj. 起毛的"
platoon,n. 排，团；一组
respite,"n. 缓解；暂缓；暂时的休息；缓期执行
vt. 使缓解；使暂缓；使延期；缓期执行"
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
valet,"n. 贴身男仆；用车的人；伺候客人停车
vt. 为...管理衣物；替...洗熨衣服
vi. 清洗汽车；服侍"
bouquet,n. 花束；酒香
din,"n. 喧嚣
vt. 喧闹，絮絮不休地说
vi. 喧闹，絮絮不休地说"
din,"n. 喧嚣
vt. 喧闹，絮絮不休地说
vi. 喧闹，絮絮不休地说"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
committee,n. 委员会
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
commitment,n. 承诺，保证；委托；承担义务；献身
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
commissioner,n. 理事；委员；行政长官；总裁
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
drive-in,"n. 免下车餐馆；免下车电影院
adj. 免下车的；路边服务的"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
drivel,"n. 鼻涕；口水；糊涂话
vi. 淌口水；流鼻涕；说傻话
vt. 浪费"
drool,"n. 口水；梦话，胡说
vt. 从嘴淌下；散漫地说
vi. 流口水；胡说"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
deface,vt. 损伤外观，丑化
efface,vt. 抹去，抹掉；使自己不受人注意
self-effacing,adj. 谦让的；谦逊的；不出风头的
facade,n. 正面；表面；外观
facet,"n. 面；方面；小平面
vt. 在…上琢面"
facing,n. 饰面；衣服等的贴边
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
desegregate,"vt. 使…废止种族隔离
vi. 废止种族隔离"
gregarious,adj. 社交的；群居的
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
afoot,"adj. 在进行中的；徒步的；准备中
adv. 在进行中，在准备中"
foothill,n. 山麓小丘；丘陵地带
foothold,n. 据点；立足处
footloose,adj. 自由自在的，不受束缚的
footman,n. 男仆，侍从；步兵
footnote,"n. 脚注；补充说明
vt. 给…作脚注；在脚注里评议"
footpath,n. 人行道；小路；小径
footprint,n. 足迹；脚印
footwear,n. 鞋类
footwork,n. 步法；需跑腿的工作；策略
fetter,"n. 束缚；羁绊；脚镣
vt. 束缚；加脚镣"
expedient,"n. 权宜之计；应急手段
adj. 权宜的；方便的；有利的"
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
expedition,n. 远征；探险队；迅速
impede,vt. 阻碍；妨碍；阻止
impediment,n. 口吃；妨碍；阻止
millipede,n.  千足虫；倍足纲节动物（等于millepede）
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
pedigree,"n. 血统；家谱
adj. 纯种的"
grammar,n. 语法；语法书
grammatical,adj. 文法的；符合语法规则的
anagram,n. 相同字母异序词，易位构词，变位词
epigram,n. 警句；讽刺短诗；隽语
histogram,n.  直方图；柱状图
hologram,n.  全息图；全息摄影，全息照相
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
impolite,adj. 无礼的；粗鲁的
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
metropolis,n. 大都市；首府；重要中心
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
resounding,"adj. 响亮的；轰动的；彻底的
v. 回响（resound的ing形式）"
ultrasound,n. 超声；超音波
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
dissonance,n. 不一致；不调和；不和谐音
liaison,n. 联络；（语言）连音
resonance,n.  共振；共鸣；反响
sonar,n. 声纳；声波定位仪（等于asdic）
sonata,n. 奏鸣曲
sonnet,n. 十四行诗；商籁诗
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
ultrasonic,"n. 超声波
adj.  超声的；超音速的"
tangent,"n.  切线， 正切
adj. 切线的，相切的；接触的；离题的"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
intangible,adj. 无形的，触摸不到的；难以理解的
entangle,vt. 使纠缠；卷入；使混乱
disentangle,"vt. 解开；松开；使解脱
vi. 解决；松开；解开纠结；解决（纠纷）"
contagion,n. 传染病；蔓延；触染
contagious,adj. 感染性的；会蔓延的
integer,n.  整数；整体；完整的事物
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
disintegration,n. 瓦解，崩溃；分解
integrity,n. 完整；正直；诚实；廉正
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
intact,adj. 完整的；原封不动的；未受损伤的
tact,n. 机智；老练；圆滑；鉴赏力
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tactical,adj. 战术的；策略的；善于策略的
tactful,adj. 机智的；圆滑的；老练的
tactician,n. 战术家；谋士
thesis,n. 论文；论点
hypothesis,n. 假设
parenthesis,"n. 插入语,插入成分
n. 圆括号
n. 间歇，插曲"
synthesis,n. 综合， 合成；综合体
synthesize,"vt. 合成；综合
vi. 合成；综合"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
annals,n. 年报；编年史；年鉴
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
annuity,n. 年金，养老金；年金保险；年金享受权
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
homicide,n. 过失杀人；杀人犯
insecticide,n. 杀虫剂
pesticide,n. 杀虫剂
concise,adj. 简明的，简洁的
excise,"n. 消费税；货物税
vt. 切除；收税"
incise,vt. 切；切割；雕刻
incisive,adj. 深刻的；敏锐的；锋利的
précis,
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
exit,"n. 出口，通道；退场
vi. 退出；离去"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transition,n. 过渡；转变； 转换；变调
transitive,"n. 传递；及物动词
adj. 及物的；过渡的；可迁的"
intransitive,"n. 不及物动词
adj. 不及物的"
transitory,adj. 短暂的，暂时的；瞬息的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
receive,"vt. 收到；接待；接纳
vi. 接收"
receptive,adj. 善于接受的；能容纳的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
acceptance,n. 接纳；赞同；容忍
acceptable,adj. 可接受的；合意的；可忍受的
unacceptable,adj. 不能接受的；不受欢迎的
inception,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
susceptibility,n. 敏感性；感情；磁化系数
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conceivable,adj. 可能的；想得到的，可想像的
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
conceptual,adj. 概念上的
contraception,n. 避孕
contraceptive,"n. 避孕用具； 避孕剂
adj. 避孕的"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
conceited,adj. 自负的；狂想的；逞能的
deceive,v. 欺骗；行骗
deception,n. 欺骗，欺诈；骗术
deceptive,adj. 欺诈的；迷惑的；虚伪的
deceit,n. 欺骗；谎言；欺诈手段
deceitful,adj. 欺骗的；欺诈的；谎言的；虚伪的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
froth,"n. 泡沫，泡；口沫
vi. 吐白沫；起泡沫
vt. 使生泡沫"
hanker,vi. 向往，追求；渴望，期望
impeach,"n. 控告，检举；弹劾；怀疑
vt. 弹劾；归咎；怀疑"
loin,n. 腰；腰部；腰肉
napkin,n. 餐巾；餐巾纸；尿布
platinum,"n.  铂；白金；唱片集达100万张的销售量；银灰色
adj. 唱片集已售出100万张的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
serenade,"n. 小夜曲
vt. 为…唱小夜曲
vi. 唱小夜曲"
spleen,n. 脾脏；坏脾气；怒气
tar,"n. 焦油；柏油；水手
vt. 涂以焦油；玷污"
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
bough,n. 大树枝
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
dimple,"n. 酒窝；涟漪；浅凹
vt. 使起涟漪；使现酒窝
vi. 出现酒窝；起涟漪"
fad,n. 时尚；一时的爱好；一时流行的狂热
frolic,"n. 嬉闹，嬉戏
adj. 嬉戏的，欢乐的
vi. 嬉戏"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
immaculate,adj. 完美的；洁净的；无瑕疵的
logo,n. 商标，徽标；标识语
nape,n. 颈背；项
plaque,n. 匾；血小板；饰板
requiem,n. 安魂曲；追思弥撒
sepulcher,"n. 坟墓；圣物置放处
vt. 埋葬"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
tapestry,"n. 织锦；挂毯；绣帷
vt. 用挂毯装饰"
uranium,n.  铀
amalgamate,"vt. 合并；使（金属）汞齐化；混合
vi. 合并；汞齐化；调制汞合金"
booze,"n. 酒；酒宴
vi. 豪饮；痛饮"
colt,n. 柯尔特式自动手枪；柯尔特公司（美著名制枪厂商）
dilettante,"n. 业余爱好者；一知半解者
adj. 浅薄的；业余艺术爱好的
vi. （在艺术、科学等方面）浅尝辄止"
fetus,n. 胎儿，胎
foetus,n. 胎儿
frock,n. 女装；连衣裙；僧袍；罩袍
hammock,"n. 吊床；吊铺；吊带
vt. 睡吊床"
imbue,vt. 灌输；使感染；使渗透
logistics,"n.  后勤；后勤学
物流"
nag,"n. 唠叨；老马；竞赛马
vt. 使烦恼；不断地唠叨
vi. 不断地唠叨"
plank,"n.  厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款"
repugnant,adj. 讨厌的；矛盾的；敌对的
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
